COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BRA;Brazil;2022;83;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2022;52;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2022;75;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2022;71;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2022;51;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2022;41;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2022;72;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2022;29;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2022;25;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2022;55;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2022;60;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2022;60;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2022;56;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2022;65;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2022;52;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2022;69;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2022;40;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2022;36;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2022;53;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2022;27;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2022;85;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2022;66;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2022;77;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2022;65;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2022;76;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2022;53;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2022;31;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2022;38;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;HN;HND;HND;nan
HUN;Hungary;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;HU;HUN;HUN;nan
ISL;Iceland;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IS;ISL;ISL;nan
IND;India;2022;78;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IN;IND;IND;nan
IDN;Indonesia;2022;50;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;ID;IDN;IDN;nan
IRN;Iran;2022;35;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IR;IRN;IRN;nan
IRQ;Iraq;2022;36;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IQ;IRQ;IRQ;nan
IRL;Ireland;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IE;IRL;IRL;nan
ISR;Israel;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IL;ISR;ISR;nan
ITA;Italy;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;IT;ITA;ITA;nan
JAM;Jamaica;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;JM;JAM;JAM;nan
JPN;Japan;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;JP;JPN;JPN;nan
JOR;Jordan;2022;49;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;JO;JOR;JOR;nan
KAZ;Kazakhstan;2022;14;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KZ;KAZ;KAZ;nan
KEN;Kenya;2022;69;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KE;KEN;KEN;nan
KIR;Kiribati;2022;70;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KI;KIR;KIR;nan
PRK;North Korea;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;PRK;nan
KOR;South Korea;2022;26;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;KOR;nan
XK;Kosovo;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;XK;XKX;XK;nan
KWT;Kuwait;2022;86;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;KW;KWT;KWT;nan
KGZ;Kyrgyzstan;2022;73;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;KGZ;nan
LAO;Laos;2022;64;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;LAO;nan
LVA;Latvia;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LV;LVA;LVA;nan
LBN;Lebanon;2022;90;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LB;LBN;LBN;nan
LSO;Lesotho;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LS;LSO;LSO;nan
LBR;Liberia;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LR;LBR;LBR;nan
LBY;Libya;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LY;LBY;LBY;nan
LIE;Liechenstein;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;LIE;nan
LTU;Lithuania;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LT;LTU;LTU;nan
LUX;Luxembourg;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;LU;LUX;LUX;nan
MKD;Macedonia;2022;35;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;MKD;nan
MDG;Madagascar;2022;73;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MG;MDG;MDG;nan
MWI;Malawi;2022;71;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MW;MWI;MWI;nan
MYS;Malaysia;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MY;MYS;MYS;nan
MDV;Maldives;2022;93;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MV;MDV;MDV;nan
MLI;Mali;2022;52;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;ML;MLI;MLI;nan
MLT;Malta;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MT;MLT;MLT;nan
MHL;Marshall Islands;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MH;MHL;MHL;nan
MRT;Mauritania;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MR;MRT;MRT;nan
MUS;Mauritius;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MU;MUS;MUS;nan
MEX;Mexico;2022;60;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MX;MEX;MEX;nan
FSM;Micronesia;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;FM;FSM;FSM;nan
MDA;Moldova;2022;16;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MD;MDA;MDA;nan
MCO;Monaco;2022;39;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MC;MCO;MCO;nan
MNG;Mongolia;2022;78;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MN;MNG;MNG;nan
MNE;Montenegro;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;ME;MNE;MNE;nan
MAR;Morocco;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MA;MAR;MAR;nan
MOZ;Mozambique;2022;81;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;MZ;MOZ;MOZ;nan
MMR;Myanmar;2022;74;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;;;MMR;nan
NAM;Namibia;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;NA;NAM;NAM;nan
NRU;Nauru;2022;;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;NR;NRU;NRU;nan
NPL;Nepal;2022;71;;For countries which have legal measures in place only, this indicator assesses how well laws reflect the recommendations put forward in the Code and how effectively they are monitored and communicated. The total score out of 100 is used.;;;;;;;;;;;;NP;NPL;NPL;nan
