Participant;Signature;Ratification, Acceptance(A), Approval(AA), Formal confirmation(c), Accession(a), Succession(d);ATTR_ENDPOINT
Democratic People's Republic of Korea;17 Jun 2003;27 Apr 2005;nan
Democratic Republic of the Congo;28 Jun 2004;28 Oct 2005;nan
Denmark 3;16 Jun 2003;16 Dec 2004;nan
Djibouti;13 May 2004;31 Jul 2005;nan
Dominica;29 Jun 2004;24 Jul 2006;nan
Ecuador;22 Mar 2004;25 Jul 2006;nan
Egypt;17 Jun 2003;25 Feb 2005;nan
El Salvador;18 Mar 2004;21 Jul 2014;nan
Equatorial Guinea;;17 Sep 2005 a;nan
Estonia;8 Jun 2004;27 Jul 2005;nan
Eswatini;29 Jun 2004;13 Jan 2006;nan
Ethiopia;25 Feb 2004;25 Mar 2014;nan
European Union;16 Jun 2003;30 Jun 2005 c;nan
Fiji;3 Oct 2003;3 Oct 2003;nan
Finland;16 Jun 2003;24 Jan 2005;nan
France;16 Jun 2003;19 Oct 2004 AA;nan
Gabon;22 Aug 2003;20 Feb 2009;nan
Gambia;16 Jun 2003;18 Sep 2007;nan
Georgia;20 Feb 2004;14 Feb 2006;nan
Germany;24 Oct 2003;16 Dec 2004;nan
Ghana;20 Jun 2003;29 Nov 2004;nan
Greece;16 Jun 2003;27 Jan 2006;nan
Grenada;29 Jun 2004;14 Aug 2007;nan
Guatemala;25 Sep 2003;16 Nov 2005;nan
Guinea;1 Apr 2004;7 Nov 2007;nan
Guinea-Bissau;;7 Nov 2008 a;nan
Guyana;;15 Sep 2005 a;nan
Haiti;23 Jul 2003;;nan
Honduras;18 Jun 2004;16 Feb 2005;nan
Hungary;16 Jun 2003;7 Apr 2004;nan
Iceland;16 Jun 2003;14 Jun 2004;nan
India;10 Sep 2003;5 Feb 2004;nan
Iran (Islamic Republic of);16 Jun 2003;6 Nov 2005;nan
Iraq;29 Jun 2004;17 Mar 2008;nan
Ireland;16 Sep 2003;7 Nov 2005;nan
Israel;20 Jun 2003;24 Aug 2005;nan
Italy;16 Jun 2003;2 Jul 2008;nan
Jamaica;24 Sep 2003;7 Jul 2005;nan
Japan;9 Mar 2004;8 Jun 2004 A;nan
Jordan;28 May 2004;19 Aug 2004;nan
Kazakhstan;21 Jun 2004;22 Jan 2007;nan
Kenya;25 Jun 2004;25 Jun 2004;nan
Kiribati;27 Apr 2004;15 Sep 2005;nan
Kuwait;16 Jun 2003;12 May 2006;nan
Kyrgyzstan;18 Feb 2004;25 May 2006;nan
Lao People's Democratic Republic;29 Jun 2004;6 Sep 2006;nan
Latvia;10 May 2004;10 Feb 2005;nan
Lebanon;4 Mar 2004;7 Dec 2005;nan
Lesotho;23 Jun 2004;14 Jan 2005;nan
Liberia;25 Jun 2004;15 Sep 2009;nan
Libya;18 Jun 2004;7 Jun 2005;nan
Lithuania;22 Sep 2003;16 Dec 2004;nan
Luxembourg;16 Jun 2003;30 Jun 2005;nan
Madagascar;24 Sep 2003;22 Sep 2004;nan
Malaysia;23 Sep 2003;16 Sep 2005;nan
Maldives;17 May 2004;20 May 2004;nan
Mali;23 Sep 2003;19 Oct 2005;nan
Malta;16 Jun 2003;24 Sep 2003;nan
Marshall Islands;16 Jun 2003;8 Dec 2004;nan
Mauritania;24 Jun 2004;28 Oct 2005;nan
Mauritius;17 Jun 2003;17 May 2004;nan
Mexico;12 Aug 2003;28 May 2004;nan
Micronesia (Federated States of);28 Jun 2004;18 Mar 2005;nan
Mongolia;16 Jun 2003;27 Jan 2004;nan
Montenegro 4;;23 Oct 2006 d;nan
Morocco;16 Apr 2004;;nan
Mozambique;18 Jun 2003;14 Jul 2017;nan
Myanmar;23 Oct 2003;21 Apr 2004;nan
Namibia;29 Jan 2004;7 Nov 2005;nan
Nauru;;29 Jun 2004 a;nan
Nepal;3 Dec 2003;7 Nov 2006;nan
Netherlands;16 Jun 2003;27 Jan 2005 A;nan
New Zealand 5;16 Jun 2003;27 Jan 2004;nan
Nicaragua;7 Jun 2004;9 Apr 2008;nan
Niger;28 Jun 2004;25 Aug 2005;nan
Nigeria;28 Jun 2004;20 Oct 2005;nan
Niue;18 Jun 2004;3 Jun 2005;nan
North Macedonia;;30 Jun 2006 a;nan
Norway;16 Jun 2003;16 Jun 2003 AA;nan
Oman;;9 Mar 2005 a;nan
Pakistan;18 May 2004;3 Nov 2004;nan
Palau;16 Jun 2003;12 Feb 2004;nan
Panama;26 Sep 2003;16 Aug 2004;nan
Papua New Guinea;22 Jun 2004;25 May 2006;nan
Paraguay;16 Jun 2003;26 Sep 2006;nan
Peru;21 Apr 2004;30 Nov 2004;nan
Philippines;23 Sep 2003;6 Jun 2005;nan
Poland;14 Jun 2004;15 Sep 2006;nan
Portugal;9 Jan 2004;8 Nov 2005 AA;nan
Qatar;17 Jun 2003;23 Jul 2004;nan
Republic of Korea;21 Jul 2003;16 May 2005;nan
Republic of Moldova;29 Jun 2004;3 Feb 2009;nan
Romania;25 Jun 2004;27 Jan 2006;nan
Russian Federation;;3 Jun 2008 a;nan
Rwanda;2 Jun 2004;19 Oct 2005;nan
Samoa;25 Sep 2003;3 Nov 2005;nan
San Marino;26 Sep 2003;7 Jul 2004;nan
Sao Tome and Principe;18 Jun 2004;12 Apr 2006;nan
Saudi Arabia;24 Jun 2004;9 May 2005;nan
Senegal;19 Jun 2003;27 Jan 2005;nan
Serbia;28 Jun 2004;8 Feb 2006;nan
Seychelles;11 Sep 2003;12 Nov 2003;nan
Sierra Leone;;22 May 2009 a;nan
Singapore;29 Dec 2003;14 May 2004;nan
Slovakia;19 Dec 2003;4 May 2004;nan
Slovenia;25 Sep 2003;15 Mar 2005;nan
Solomon Islands;18 Jun 2004;10 Aug 2004;nan
South Africa;16 Jun 2003;19 Apr 2005;nan
Spain;16 Jun 2003;11 Jan 2005;nan
Sri Lanka;23 Sep 2003;11 Nov 2003;nan
St. Kitts and Nevis;29 Jun 2004;21 Jun 2011;nan
St. Lucia;29 Jun 2004;7 Nov 2005;nan
St. Vincent and the Grenadines;14 Jun 2004;29 Oct 2010;nan
Sudan;10 Jun 2004;31 Oct 2005;nan
Suriname;24 Jun 2004;16 Dec 2008;nan
Sweden;16 Jun 2003;7 Jul 2005;nan
Switzerland;25 Jun 2004;;nan
Syrian Arab Republic;11 Jul 2003;22 Nov 2004;nan
Tajikistan;;21 Jun 2013 a;nan
Thailand;20 Jun 2003;8 Nov 2004;nan
Timor-Leste;25 May 2004;22 Dec 2004;nan
Togo;12 May 2004;15 Nov 2005;nan
Tonga;25 Sep 2003;8 Apr 2005;nan
Trinidad and Tobago;27 Aug 2003;19 Aug 2004;nan
Tunisia;22 Aug 2003;7 Jun 2010;nan
Türkiye;28 Apr 2004;31 Dec 2004;nan
Turkmenistan;;13 May 2011 a;nan
Tuvalu;10 Jun 2004;26 Sep 2005;nan
Uganda;5 Mar 2004;20 Jun 2007;nan
Ukraine;25 Jun 2004;6 Jun 2006;nan
United Arab Emirates;24 Jun 2004;7 Nov 2005;nan
United Kingdom of Great Britain and Northern Ireland 6;16 Jun 2003;16 Dec 2004;nan
United Republic of Tanzania;27 Jan 2004;30 Apr 2007;nan
United States of America;10 May 2004;;nan
Uruguay 1;19 Jun 2003;9 Sep 2004;nan
Uzbekistan;;15 May 2012 a;nan
Vanuatu;22 Apr 2004;16 Sep 2005;nan
Venezuela (Bolivarian Republic of);22 Sep 2003;27 Jun 2006;nan
Viet Nam;3 Sep 2003;17 Dec 2004;nan
Yemen;20 Jun 2003;22 Feb 2007;nan
Zambia;;23 May 2008 a;nan
Zimbabwe;;4 Dec 2014 a;nan
