goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;dimensions.Reporting Type;dimensions.Quantile;ATTR_ENDPOINT
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2013.0;30.59056;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2014.0;31.44236;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2014.0;23.18245;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2016.0;23.3856;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2016.0;34.67823;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2017.0;25.28745;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2017.0;35.36281;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2018.0;33.90985;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2018.0;22.26676;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2019.0;22.52761;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;32;Argentina;2019.0;34.30034;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2008.0;49.99086;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2008.0;55.33722;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2009.0;51.284;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2009.0;55.07897;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2010.0;54.16628;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2010.0;52.10611;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2011.0;53.53614;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2011.0;52.87971;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2012.0;56.42332;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2012.0;53.36276;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2013.0;53.03151;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2013.0;56.69281;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2014.0;56.99563;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2014.0;54.75134;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2015.0;56.56097;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2015.0;53.41843;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2016.0;55.48178;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2016.0;51.89175;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2017.0;57.52963;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2017.0;55.05737;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2018.0;55.90557;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;51;Armenia;2018.0;52.32998;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;31;Azerbaijan;2015.0;56.98233;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;31;Azerbaijan;2015.0;50.6121;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2005.0;0.10191;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2005.0;1.64765;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2010.0;0.27228;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2010.0;1.49869;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2016.0;0.95057;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;50;Bangladesh;2016.0;0.4757;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;112;Belarus;2008.0;39.38569;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;Q1;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_SOCINS;[World Bank] Proportion of population covered by social insurance programs (%);836;112;Belarus;2008.0;43.08533;Float;;;;;;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);;[''];CA;PERCENT;G;_T;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999
