COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AZE;Azerbaijan;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2010;33-65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2010;No data;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2010;66-89;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2010;0-9;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2010;10–32;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2010;33–65;Percentage range;"Due to the lack of statistical and administrative data, the estimation of coverage in law and in practice in percentage terms is generally not straightforward, and is not feasible for most countries to calculate it in a robust way. Therefore, in 2008, the Tripartite Meeting of Experts
(TME) on the Measurement of Decent Work endorsed the proposition that broad percentage ranges be used to calculate the estimates, such as: few (<10 per cent), some (10–32 per cent), about half (33–65 per cent), most (66–89 per cent), virtually all, or all (90+ per cent).";This indicator measures the share of employed women (regardless of their status in employment, category of work or the level of formality), who are legally covered by statutory maternity leave. The numerator is the result of the number of women employed, whose sector, occupation or other personal characteristics are explicitly included in the scope of the labour code (legally covered) minus the number of women workers legally covered who do not meet the qualifying conditions to access the right to maternity leave (legally unqualified). The denominator is the number women in employment, without discrimination as to age, nationality, marital status or residence. This indicator reflects the entitlement to maternity leave, regardless of its length or payment.;;;;;;;;;;;;CV;CPV;CPV;nan
