Country;Date;Status;Note;ATTR_ENDPOINT
Republic of Korea;20 Apr 2021;In Force;;nan
Republic of Moldova;12 Aug 1996;In Force;;nan
Romania;28 May 1957;In Force;;nan
Russian Federation;10 Aug 1956;In Force;;nan
Rwanda;08 Nov 1988;In Force;;nan
Saint Kitts and Nevis;25 Aug 2000;In Force;;nan
Saint Lucia;14 May 1980;In Force;;nan
Saint Vincent and the Grenadines;09 Nov 2001;In Force;;nan
Samoa;30 Jun 2008;In Force;;nan
San Marino;19 Dec 1986;In Force;;nan
Sao Tome and Principe;17 Jun 1992;In Force;;nan
Senegal;04 Nov 1960;In Force;;nan
Serbia;24 Nov 2000;In Force;;nan
Seychelles;06 Feb 1978;In Force;;nan
Sierra Leone;15 Jun 1961;In Force;;nan
Slovakia;01 Jan 1993;In Force;;nan
Slovenia;29 May 1992;In Force;;nan
Solomon Islands;13 Apr 2012;In Force;;nan
Somalia;20 Mar 2014;In Force;;nan
South Africa;19 Feb 1996;In Force;;nan
Spain;20 Apr 1977;In Force;;nan
Sri Lanka;15 Sep 1995;In Force;;nan
Sudan;17 Mar 2021;In Force;;nan
Suriname;15 Jun 1976;In Force;;nan
Sweden;25 Nov 1949;In Force;;nan
Switzerland;25 Mar 1975;In Force;;nan
Syrian Arab Republic;26 Jul 1960;In Force;;nan
Tajikistan;26 Nov 1993;In Force;;nan
Timor-Leste;16 Jun 2009;In Force;;nan
Togo;07 Jun 1960;In Force;;nan
Trinidad and Tobago;24 May 1963;In Force;;nan
Tunisia;18 Jun 1957;In Force;;nan
Turkmenistan;15 May 1997;In Force;;nan
Türkiye;12 Jul 1993;In Force;;nan
Uganda;02 Jun 2005;In Force;;nan
Ukraine;14 Sep 1956;In Force;;nan
United Kingdom of Great Britain and Northern Ireland;27 Jun 1949;In Force;;nan
United Republic of Tanzania;18 Apr 2000;In Force;;nan
Uruguay;18 Mar 1954;In Force;;nan
Uzbekistan;12 Dec 2016;In Force;;nan
Vanuatu;28 Aug 2006;In Force;;nan
Venezuela (Bolivarian Republic of);20 Sep 1982;In Force;;nan
Yemen;29 Jul 1976;In Force;;nan
Zambia;02 Sep 1996;In Force;;nan
Zimbabwe;09 Apr 2003;In Force;;nan
