COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AZE;Azerbaijan;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;HN;HND;HND;nan
HUN;Hungary;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;HU;HUN;HUN;nan
ISL;Iceland;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IS;ISL;ISL;nan
IND;India;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IN;IND;IND;nan
IDN;Indonesia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;ID;IDN;IDN;nan
IRN;Iran;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IR;IRN;IRN;nan
IRQ;Iraq;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IQ;IRQ;IRQ;nan
IRL;Ireland;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IE;IRL;IRL;nan
ISR;Israel;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IL;ISR;ISR;nan
ITA;Italy;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;IT;ITA;ITA;nan
JAM;Jamaica;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;JM;JAM;JAM;nan
JPN;Japan;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;JP;JPN;JPN;nan
JOR;Jordan;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;JO;JOR;JOR;nan
KAZ;Kazakhstan;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KZ;KAZ;KAZ;nan
KEN;Kenya;2023;Yes, and the NAP addresses children’s rights specifically;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KE;KEN;KEN;nan
KIR;Kiribati;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KI;KIR;KIR;nan
PRK;North Korea;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;PRK;nan
KOR;South Korea;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;KOR;nan
XK;Kosovo;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;XK;XKX;XK;nan
KWT;Kuwait;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;KW;KWT;KWT;nan
KGZ;Kyrgyzstan;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;KGZ;nan
LAO;Laos;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;LAO;nan
LVA;Latvia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LV;LVA;LVA;nan
LBN;Lebanon;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LB;LBN;LBN;nan
LSO;Lesotho;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LS;LSO;LSO;nan
LBR;Liberia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LR;LBR;LBR;nan
LBY;Libya;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LY;LBY;LBY;nan
LIE;Liechtenstein;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LI;LIE;LIE;nan
LTU;Lithuania;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LT;LTU;LTU;nan
LUX;Luxembourg;2023;Yes, there is a NAP;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;LU;LUX;LUX;nan
MKD;Macedonia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;;;MKD;nan
MDG;Madagascar;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MG;MDG;MDG;nan
MWI;Malawi;2023;No, not listed a having an action plan or developing one;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MW;MWI;MWI;nan
MYS;Malaysia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MY;MYS;MYS;nan
MDV;Maldives;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MV;MDV;MDV;nan
MLI;Mali;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;ML;MLI;MLI;nan
MLT;Malta;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MT;MLT;MLT;nan
MHL;Marshall Islands;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MH;MHL;MHL;nan
MRT;Mauritania;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MR;MRT;MRT;nan
MUS;Mauritius;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MU;MUS;MUS;nan
MEX;Mexico;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MX;MEX;MEX;nan
FSM;Micronesia;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;FM;FSM;FSM;nan
MDA;Moldova;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MD;MDA;MDA;nan
MCO;Monaco;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MC;MCO;MCO;nan
MNG;Mongolia;2023;In progress;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;MN;MNG;MNG;nan
MNE;Montenegro;2023;No;;This indicator assesses whether a country has a National Action Plan on Business and Human Rights and if they do, whether the plan specifically addresses children's rights. Note. It is not sufficient to only reference child labour.;;;;;;;;;;;;ME;MNE;MNE;nan
