COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BHR;Bahrain;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2021;Draft Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2021;Draft Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2021;No Data;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2021;No Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2021;Draft Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2021;Legislation;Cybercrime is a growing concern to countries at all levels of developments and affects both, buyers and sellers. While 156 countries (80 per cent) have enacted cybercrime legislation, the pattern varies by region: Europe has the highest adoption rate (91 per cent) and Africa the lowest (72 per cent). The evolving cybercrime landscape and resulting skills gaps are a significant challenge for law enforcement agencies and prosecutors, especially for cross-border enforcement.;;;;;;;;;;;;DE;DEU;DEU;nan
