COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BEL;Belgium;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2023;No ISO or IEC national standards authority;This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2023;Yes, the country has a national standards authority (ISO);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2023;Yes, the country has a national standards authority (ISO and IEC);This indicator records whether a country has a national standards body that is either an ISO or IEC member and which is promoting and applying international standards such as quality and safety of industrial or commercial activity. The IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. The ISO brings together experts to share knowledge and develop voluntary, consensus-based, market relevant worldwide proprietary, industrial, and commercial standards;;;;;;;;;;;;FI;FIN;FIN;nan
