country;RAW_OBS_VALUE;TIME_PERIOD;ATTR_ENDPOINT
Qatar;2.0;2016.0;nan
Republic of Korea;5.0;2016.0;nan
Republic of the Congo;1.0;2016.0;nan
Romania;4.0;2016.0;nan
Russian Federation;3.0;2016.0;nan
Rwanda;1.0;2016.0;nan
Samoa;1.0;2016.0;nan
San Marino;4.0;2016.0;nan
Sao Tome and Principe;4.0;2016.0;nan
Saudi Arabia;1.0;2016.0;nan
Senegal;1.0;2016.0;nan
Serbia;5.0;2016.0;nan
Seychelles;1.0;2016.0;nan
Sierra Leone;1.0;2016.0;nan
Singapore;1.0;2016.0;nan
Slovakia;4.0;2016.0;nan
Solomon Islands;1.0;2016.0;nan
Somalia;2.0;2016.0;nan
South Africa;3.0;2016.0;nan
South Sudan;1.0;2016.0;nan
Spain;3.0;2016.0;nan
Sri Lanka;2.0;2016.0;nan
St. Lucia;1.0;2016.0;nan
St. Vincent and the Grenadines;1.0;2016.0;nan
Sudan;1.0;2016.0;nan
Suriname;1.0;2016.0;nan
Sweden;1.0;2016.0;nan
Switzerland;4.0;2016.0;nan
Syria;1.0;2016.0;nan
Tajikistan;5.0;2016.0;nan
Tanzania;4.0;2016.0;nan
Thailand;1.0;2016.0;nan
The Gambia;1.0;2016.0;nan
The Netherlands;1.0;2016.0;nan
The Philippines;4.0;2016.0;nan
Timor-Leste;4.0;2016.0;nan
Togo;1.0;2016.0;nan
Tonga;1.0;2016.0;nan
Trinidad and Tobago;1.0;2016.0;nan
Tunisia;1.0;2016.0;nan
Türkiye;1.0;2016.0;nan
Turkmenistan;5.0;2016.0;nan
Tuvalu;1.0;2016.0;nan
Uganda;1.0;2016.0;nan
Ukraine;1.0;2016.0;nan
United Arab Emirates;1.0;2016.0;nan
United Kingdom;1.0;2016.0;nan
United States of America;1.0;2016.0;nan
Uruguay;1.0;2016.0;nan
Uzbekistan;5.0;2016.0;nan
Vanuatu;1.0;2016.0;nan
Venezuela;5.0;2016.0;nan
Vietnam;5.0;2016.0;nan
Yemen;4.0;2016.0;nan
Zambia;4.0;2016.0;nan
Zimbabwe;1.0;2016.0;nan
