Participant;Signature, Succession to signature(d);Ratification, Acceptance(A), Approval(AA), Accession(a);ATTR_ENDPOINT
Grenada;;15 Oct 2021 a;nan
Guatemala;29 Jan 2002;30 Jul 2008;nan
Guinea;23 May 2001;11 Dec 2007;nan
Guinea-Bissau;24 Apr 2002;6 Aug 2008;nan
Guyana;;12 Sep 2007 a;nan
Haiti;23 May 2001;;nan
Honduras;17 May 2002;23 May 2005;nan
Hungary;23 May 2001;14 Mar 2008;nan
Iceland;23 May 2001;29 May 2002;nan
India;14 May 2002;13 Jan 2006;nan
Indonesia;23 May 2001;28 Sep 2009;nan
Iran (Islamic Republic of);23 May 2001;6 Feb 2006;nan
Iraq;;8 Mar 2016 a;nan
Ireland;23 May 2001;5 Aug 2010;nan
Israel;30 Jul 2001;;nan
Italy;23 May 2001;29 Sep 2022;nan
Jamaica;23 May 2001;1 Jun 2007;nan
Japan;;30 Aug 2002 a;nan
Jordan;18 Jan 2002;8 Nov 2004;nan
Kazakhstan;23 May 2001;9 Nov 2007;nan
Kenya;23 May 2001;24 Sep 2004;nan
Kiribati;4 Apr 2002;7 Sep 2004;nan
Kuwait;23 May 2001;12 Jun 2006;nan
Kyrgyzstan;16 May 2002;12 Dec 2006;nan
Lao People's Democratic Republic;5 Mar 2002;28 Jun 2006;nan
Latvia;23 May 2001;28 Oct 2004;nan
Lebanon;23 May 2001;3 Jan 2003;nan
Lesotho;23 Jan 2002;23 Jan 2002;nan
Liberia;;23 May 2002 a;nan
Libya;;14 Jun 2005 a;nan
Liechtenstein;23 May 2001;3 Dec 2004;nan
Lithuania;17 May 2002;5 Dec 2006;nan
Luxembourg;23 May 2001;7 Feb 2003;nan
Madagascar;24 Sep 2001;18 Nov 2005;nan
Malawi;22 May 2002;27 Feb 2009;nan
Malaysia;16 May 2002;;nan
Maldives;;17 Oct 2006 a;nan
Mali;23 May 2001;5 Sep 2003;nan
Malta;23 May 2001;17 Jan 2017;nan
Marshall Islands;;27 Jan 2003 a;nan
Mauritania;8 Aug 2001;22 Jul 2005;nan
Mauritius;23 May 2001;13 Jul 2004;nan
Mexico;23 May 2001;10 Feb 2003;nan
Micronesia (Federated States of);31 Jul 2001;15 Jul 2005;nan
Monaco;23 May 2001;20 Oct 2004;nan
Mongolia;17 May 2002;30 Apr 2004;nan
Montenegro 10;23 Oct 2006 d;31 Mar 2011;nan
Morocco;23 May 2001;15 Jun 2004;nan
Mozambique;23 May 2001;31 Oct 2005;nan
Myanmar;;19 Apr 2004 a;nan
Namibia;;24 Jun 2005 a;nan
Nauru;9 May 2002;9 May 2002;nan
Nepal;5 Apr 2002;6 Mar 2007;nan
Netherlands;23 May 2001;28 Jan 2002 A;nan
New Zealand 11;23 May 2001;24 Sep 2004;nan
Nicaragua;23 May 2001;1 Dec 2005;nan
Niger;12 Oct 2001;12 Apr 2006;nan
Nigeria;23 May 2001;24 May 2004;nan
Niue;12 Mar 2002;2 Sep 2005;nan
North Macedonia;23 May 2001;27 May 2004;nan
Norway;23 May 2001;11 Jul 2002;nan
Oman;4 Mar 2002;19 Jan 2005;nan
Pakistan;6 Dec 2001;17 Apr 2008;nan
Palau;28 Mar 2002;8 Sep 2011;nan
Panama;23 May 2001;5 Mar 2003;nan
Papua New Guinea;23 May 2001;7 Oct 2003;nan
Paraguay;12 Oct 2001;1 Apr 2004;nan
Peru;23 May 2001;14 Sep 2005;nan
Philippines;23 May 2001;27 Feb 2004;nan
Poland;23 May 2001;23 Oct 2008;nan
Portugal;23 May 2001;15 Jul 2004 A;nan
Qatar;;10 Dec 2004 a;nan
Republic of Korea;4 Oct 2001;25 Jan 2007;nan
Republic of Moldova;23 May 2001;7 Apr 2004;nan
Romania;23 May 2001;28 Oct 2004;nan
Russian Federation;22 May 2002;17 Aug 2011;nan
Rwanda;;5 Jun 2002 a;nan
Samoa;23 May 2001;4 Feb 2002;nan
Sao Tome and Principe;3 Apr 2002;12 Apr 2006;nan
Saudi Arabia;14 Mar 2002;25 Jul 2012;nan
Senegal;23 May 2001;8 Oct 2003;nan
Serbia 12;2 May 2002;31 Jul 2009;nan
Seychelles;25 Mar 2002;3 Jun 2008;nan
Sierra Leone;;26 Sep 2003 a;nan
Singapore;23 May 2001;24 May 2005;nan
Slovakia;23 May 2001;5 Aug 2002;nan
Slovenia;23 May 2001;4 May 2004;nan
Solomon Islands;;28 Jul 2004 a;nan
Somalia;;26 Jul 2010 a;nan
South Africa;23 May 2001;4 Sep 2002;nan
Spain;23 May 2001;28 May 2004;nan
Sri Lanka;5 Sep 2001;22 Dec 2005;nan
St. Kitts and Nevis;;21 May 2004 a;nan
St. Lucia;;4 Oct 2002 a;nan
St. Vincent and the Grenadines;;15 Sep 2005 a;nan
State of Palestine;;29 Dec 2017 a;nan
Sudan;23 May 2001;29 Aug 2006;nan
Suriname;22 May 2002;20 Sep 2011;nan
Sweden;23 May 2001;8 May 2002;nan
Switzerland;23 May 2001;30 Jul 2003;nan
Syrian Arab Republic;15 Feb 2002;5 Aug 2005;nan
Tajikistan;21 May 2002;8 Feb 2007;nan
Thailand;22 May 2002;31 Jan 2005;nan
Togo;23 May 2001;22 Jul 2004;nan
Tonga;21 May 2002;23 Oct 2009;nan
Trinidad and Tobago;;13 Dec 2002 a;nan
Tunisia;23 May 2001;17 Jun 2004;nan
Türkiye;23 May 2001;14 Oct 2009;nan
Tuvalu;;19 Jan 2004 a;nan
Uganda;;20 Jul 2004 a;nan
Ukraine;23 May 2001;25 Sep 2007;nan
United Arab Emirates;23 May 2001;11 Jul 2002;nan
United Kingdom of Great Britain and Northern Ireland;11 Dec 2001;17 Jan 2005;nan
United Republic of Tanzania;23 May 2001;30 Apr 2004;nan
United States of America;23 May 2001;;nan
Uruguay;23 May 2001;9 Feb 2004;nan
Uzbekistan;;28 Jun 2019 a;nan
Vanuatu;21 May 2002;16 Sep 2005;nan
Venezuela (Bolivarian Republic of);23 May 2001;19 Apr 2005;nan
Viet Nam;23 May 2001;22 Jul 2002;nan
Yemen;5 Dec 2001;9 Jan 2004;nan
Zambia;23 May 2001;7 Jul 2006;nan
Zimbabwe;23 May 2001;1 Mar 2012;nan
