DATAFLOW;REF_AREA;FREQ;MEASURE;SEX;TIME_PERIOD;OBS_VALUE;OBS_STATUS;UNIT_MEASURE_TYPE;UNIT_MEASURE;UNIT_MULT;SOURCE;NOTE_SOURCE;NOTE_INDICATOR;NOTE_CLASSIF;DECIMALS;UPPER_BOUND;LOWER_BOUND;ATTR_ENDPOINT
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_T;2020;36.37;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_M;2020;40.3;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_F;2020;31.94;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_T;2021;35.76;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_M;2021;39.56;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_F;2021;31.44;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_T;2022;35.57;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_M;2022;39.31;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);AUT;A;HOW_UEMP_NB;SEX_F;2022;31.35;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BDI;A;HOW_UEMP_NB;SEX_T;2020;36.56;;NB;HR;0;HIES - Living Standards Measurement Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BDI;A;HOW_UEMP_NB;SEX_M;2020;37.63;;NB;HR;0;HIES - Living Standards Measurement Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BDI;A;HOW_UEMP_NB;SEX_F;2020;35.7;;NB;HR;0;HIES - Living Standards Measurement Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_T;2020;40.76;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_M;2020;41.47;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_F;2020;39.62;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_T;2021;41.5;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_M;2021;41.93;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_F;2021;40.77;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_T;2022;41.68;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_M;2022;41.94;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BIH;A;HOW_UEMP_NB;SEX_F;2022;41.24;B;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_T;2020;38.85;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_M;2020;39.42;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_F;2020;38.27;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_T;2021;38.89;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_M;2021;39.45;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BLR;A;HOW_UEMP_NB;SEX_F;2021;38.34;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_T;2021;39.48;B;NB;HR;0;LFS - Encuesta Continua de Empleo;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_M;2021;42.82;B;NB;HR;0;LFS - Encuesta Continua de Empleo;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_F;2021;35.68;B;NB;HR;0;LFS - Encuesta Continua de Empleo;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held | Break in series: Methodology revised;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_T;2020;43.0;;NB;HR;0;HIES - Household Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_M;2020;45.36;;NB;HR;0;HIES - Household Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BOL;A;HOW_UEMP_NB;SEX_F;2020;39.91;;NB;HR;0;HIES - Household Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_T;2020;39.23;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_M;2020;41.17;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_F;2020;36.53;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_T;2021;39.24;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_M;2021;41.17;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_F;2021;36.56;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_T;2022;39.36;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_M;2022;41.21;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRA;A;HOW_UEMP_NB;SEX_F;2022;36.88;;NB;HR;0;HS - Pesquisa Nacional por Amostra de Domicílios Contínua;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRN;A;HOW_UEMP_NB;SEX_T;2020;44.36;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRN;A;HOW_UEMP_NB;SEX_M;2020;45.69;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRN;A;HOW_UEMP_NB;SEX_F;2020;42.25;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRN;A;HOW_UEMP_NB;SEX_T;2021;47.04;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
ILO:DF_HOW_UEMP_SEX_NB(1.0);BRN;A;HOW_UEMP_NB;SEX_M;2021;47.99;;NB;HR;0;LFS - Labour Force Survey;Repository: ILO-STATISTICS - Micro data processing;Job coverage: Main job currently held;;1;;;https://www.ilo.org/sdmx/rest/data/ILO,DF_HOW_UEMP_SEX_NB/?format=csv&startPeriod=2020-01-01&endPeriod=2023-12-31
