COUNTRY_ISO_3;time_period_not_used;population;GHO;PUBLISHSTATE;YEAR;REGION;country_not_used;SEX;ENVCAUSE;obs_value_no_used_2;Numeric;Low;High;StdErr;StdDev;Comments;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_ENDPOINT
BDI;2019;11874.838;AIR_4;PUBLISHED;2019;AFR;BDI;BTSX;ENVCAUSE039;627 [223-1 100];627.24503;223.26598;1099.57166;;;;5.282135469974412;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BEL;2019;11510.568;AIR_4;PUBLISHED;2019;EUR;BEL;BTSX;ENVCAUSE039;1 [0-1];0.69576;0.25877;1.25697;;;;0.006044532294149169;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BEN;2019;12290.444;AIR_4;PUBLISHED;2019;AFR;BEN;BTSX;ENVCAUSE039;902 [541-1 274];901.8262;540.92324;1274.40611;;;;7.337621000510641;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BFA;2019;20951.639;AIR_4;PUBLISHED;2019;AFR;BFA;BTSX;ENVCAUSE039;1 763 [798-2 782];1763.2617;798.27728;2782.46088;;;;8.41586522180914;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BGD;2019;165516.222;AIR_4;PUBLISHED;2019;SEAR;BGD;BTSX;ENVCAUSE039;2 327 [1 675-3 018];2326.5717;1674.51317;3018.02922;;;;1.4056457257706136;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BGR;2019;7052.532;AIR_4;PUBLISHED;2019;EUR;BGR;BTSX;ENVCAUSE039;7 [4-11];7.3613;3.62163;11.2651;;;;0.10437811554772103;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BHR;2019;1494.1885;AIR_4;PUBLISHED;2019;EMR;BHR;BTSX;ENVCAUSE039;0 [0-1];0.44388;0.33172;0.56927;;;;0.02970709518912774;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BHS;2019;404.557;AIR_4;PUBLISHED;2019;AMR;BHS;BTSX;ENVCAUSE039;0 [0-1];0.26661;0.0;0.81103;;;;0.06590171471510813;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BIH;2019;3360.7115;AIR_4;PUBLISHED;2019;EUR;BIH;BTSX;ENVCAUSE039;2 [1-2];1.63326;1.01767;2.27355;;;;0.04859863752065596;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BLR;2019;9673.971;AIR_4;PUBLISHED;2019;EUR;BLR;BTSX;ENVCAUSE039;2 [1-4];2.34481;1.07868;3.80874;;;;0.024238340181090064;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BLZ;2019;389.095;AIR_4;PUBLISHED;2019;AMR;BLZ;BTSX;ENVCAUSE039;0 [0-1];0.33293;0.01592;0.78474;;;;0.0855652218609851;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BOL;2019;11777.3145;AIR_4;PUBLISHED;2019;AMR;BOL;BTSX;ENVCAUSE039;122 [65-180];121.64988;64.57916;180.04165;;;;1.0329169693141844;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BRA;2019;211782.878;AIR_4;PUBLISHED;2019;AMR;BRA;BTSX;ENVCAUSE039;291 [112-538];291.19611;112.34503;537.65614;;;;0.13749747512638863;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BRB;2019;280.1795;AIR_4;PUBLISHED;2019;AMR;BRB;BTSX;ENVCAUSE039;0 [0-0];0.09007;0.02222;0.18114;;;;0.032147248460362016;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BRN;2019;438.0485;AIR_4;PUBLISHED;2019;WPR;BRN;BTSX;ENVCAUSE039;0 [0-0];0.09976;0.02328;0.24976;;;;0.02277373395868266;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BTN;2019;767.459;AIR_4;PUBLISHED;2019;SEAR;BTN;BTSX;ENVCAUSE039;9 [6-13];9.46762;5.86198;13.10095;;;;1.2336320246423589;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
BWA;2019;2499.7015;AIR_4;PUBLISHED;2019;AFR;BWA;BTSX;ENVCAUSE039;31 [12-55];31.47919;11.87593;55.47104;;;;1.2593179625647302;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CAF;2019;5209.3245;AIR_4;PUBLISHED;2019;AFR;CAF;BTSX;ENVCAUSE039;417 [53-855];417.09225;53.37404;855.35667;;;;8.006647502953598;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CAN;2019;37522.5845;AIR_4;PUBLISHED;2019;AMR;CAN;BTSX;ENVCAUSE039;1 [0-3];1.12126;0.24134;2.67111;;;;0.0029882269969969686;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CHE;2019;8575.5885;AIR_4;PUBLISHED;2019;EUR;CHE;BTSX;ENVCAUSE039;0 [0-1];0.36895;0.1167;0.7349;;;;0.004302328639019934;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CHL;2019;19039.4855;AIR_4;PUBLISHED;2019;AMR;CHL;BTSX;ENVCAUSE039;6 [3-8];5.58874;3.02946;8.25583;;;;0.029353419240241548;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CHN;2019;1421864.031;AIR_4;PUBLISHED;2019;WPR;CHN;BTSX;ENVCAUSE039;4 578 [3 209-6 009];4578.46536;3208.86516;6009.48946;;;;0.3220044434755098;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CIV;2019;26147.551;AIR_4;PUBLISHED;2019;AFR;CIV;BTSX;ENVCAUSE039;2 325 [1 363-3 389];2324.79573;1363.24929;3389.44811;;;;8.891064903172003;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
CMR;2019;25782.341;AIR_4;PUBLISHED;2019;AFR;CMR;BTSX;ENVCAUSE039;2 248 [1 592-2 949];2248.43634;1591.63812;2949.05309;;;;8.720838577071028;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
COD;2019;89906.8905;AIR_4;PUBLISHED;2019;AFR;COD;BTSX;ENVCAUSE039;6 880 [1 176-13 485];6879.58089;1175.57225;13484.63553;;;;7.65189503467479;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
COG;2019;5570.7325;AIR_4;PUBLISHED;2019;AFR;COG;BTSX;ENVCAUSE039;181 [31-383];180.62828;31.0203;382.55506;;;;3.242451149826347;The burden of disease attributable to ambient air pollution expressed as Number of deaths of children under 5 years per 100.000 children under 5 years. Note: Data about deaths drawm from WHO (https://apps.who.int/gho/data/node.imr.AIR_4?lang=en), refering to year 2016. Data about population under 5 years drawn from UNICEF (https://data.unicef.org/resources/data_explorer/unicef_f/?ag=UNICEF&df=GLOBAL_DATAFLOW&ver=1.0&dq=.DM_POP_U5..&startPeriod=2008&endPeriod=2018), referring to year 2018. Due to a lack of matching data, the WHO data from 2016 had to be normalized with population data from 2018.;http://apps.who.int/gho/athena/api/GHO/AIR_4.csv
