COUNTRY_NAME;DIM_SECTOR;TIME_PERIOD;RAW_OBS_VALUE;ATTR_ENDPOINT
Uganda ;mining;2021;55.0;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Tunisia ;mining;2021;50.0;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Morocco ;mining;2021;49.0;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Democratic Republic of Congo ;mining;2021;36.0;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Afghanistan ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Australia (Western) ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Botswana ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Burkina Faso ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Cambodia ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Chile ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Eritrea ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Ethiopia ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Guatemala ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Indonesia ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Kyrgyz Republic ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Lao PDR ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Liberia ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Madagascar ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Mali ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Mauritania ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Myanmar ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Niger ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Papua New Guinea ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Philippines ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Sierra Leone ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
South Africa ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Zambia ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
Zimbabwe ;mining;2021;;https://resourcegovernanceindex.org/data/mining/issue?region=global&years=2017%2C2021
