Participant 2, 3, 4;Signature;Definitive signature(s), Acceptance(A);ATTR_ENDPOINT
Djibouti;;10 Mar 1978 A;nan
Dominica;;13 Aug 1981 A;nan
Dominican Republic;22 Jul 1946;21 Jun 1948 A;nan
Ecuador;22 Jul 1946;1 Mar 1949 A;nan
Egypt;22 Jul 1946;16 Dec 1947 A;nan
El Salvador;22 Jul 1946;22 Jun 1948 A;nan
Equatorial Guinea;;5 May 1980 A;nan
Eritrea;;24 Jul 1993 A;nan
Estonia;;31 Mar 1993 A;nan
Eswatini;;16 Apr 1973 A;nan
Ethiopia;22 Jul 1946;11 Apr 1947 A;nan
Fiji;;1 Jan 1972 A;nan
Finland;22 Jul 1946;7 Oct 1947 A;nan
France;22 Jul 1946;16 Jun 1948 A;nan
Gabon;;21 Nov 1960 A;nan
Gambia;;26 Apr 1971 A;nan
Georgia;;26 May 1992 A;nan
Germany 8, 9;;8 May 1973 A;nan
Ghana;;8 Apr 1957 A;nan
Greece;22 Jul 1946;12 Mar 1948 A;nan
Grenada;;4 Dec 1974 A;nan
Guatemala;22 Jul 1946;26 Aug 1949 A;nan
Guinea;;19 May 1959 A;nan
Guinea-Bissau;;29 Jul 1974 A;nan
Guyana;;27 Sep 1966 A;nan
Haiti;22 Jul 1946;12 Aug 1947 A;nan
Honduras;22 Jul 1946;8 Apr 1949 A;nan
Hungary;19 Feb 1947;17 Jun 1948 A;nan
Iceland;;17 Jun 1948 A;nan
India;22 Jul 1946;12 Jan 1948 A;nan
Indonesia;;23 May 1950 A;nan
Iran (Islamic Republic of);22 Jul 1946;23 Nov 1946 A;nan
Iraq;22 Jul 1946;23 Sep 1947 A;nan
Ireland;22 Jul 1946;20 Oct 1947 A;nan
Israel;;21 Jun 1949 A;nan
Italy;22 Jul 1946;11 Apr 1947 A;nan
Jamaica;;21 Mar 1963 A;nan
Japan;;16 May 1951 A;nan
Jordan;22 Jul 1946;7 Apr 1947 A;nan
Kazakhstan;;19 Aug 1992 A;nan
Kenya;;27 Jan 1964 A;nan
Kiribati;;26 Jul 1984 A;nan
Kuwait;;9 May 1960 A;nan
Kyrgyzstan;;29 Apr 1992 A;nan
Lao People's Democratic Republic;;17 May 1950 A;nan
Latvia;;4 Dec 1991 A;nan
Lebanon;22 Jul 1946;19 Jan 1949 A;nan
Lesotho;;7 Jul 1967 A;nan
Liberia;22 Jul 1946;14 Mar 1947 A;nan
Libya;;16 May 1952 A;nan
Lithuania;;25 Nov 1991 A;nan
Luxembourg;22 Jul 1946;3 Jun 1949 A;nan
Madagascar;;16 Jan 1961 A;nan
Malawi;;9 Apr 1965 A;nan
Malaysia;;24 Apr 1958 A;nan
Maldives;;5 Nov 1965 A;nan
Mali;;17 Oct 1960 A;nan
Malta;;1 Feb 1965 A;nan
Marshall Islands;;5 Jun 1991 A;nan
Mauritania;;7 Mar 1961 A;nan
Mauritius;;9 Dec 1968 A;nan
Mexico;22 Jul 1946;7 Apr 1948 A;nan
Micronesia (Federated States of);;14 Aug 1991 A;nan
Monaco;;8 Jul 1948 A;nan
Mongolia;;18 Apr 1962 A;nan
Montenegro;;29 Aug 2006 A;nan
Morocco;;14 May 1956 A;nan
Mozambique;;11 Sep 1975 A;nan
Myanmar;;1 Jul 1948 A;nan
Namibia;;23 Apr 1990 A;nan
Nauru;;9 May 1994 A;nan
Nepal;;2 Sep 1953 A;nan
Netherlands;22 Jul 1946;25 Apr 1947 A;nan
New Zealand 10;22 Jul 1946;10 Dec 1946 A;nan
Nicaragua;22 Jul 1946;24 Apr 1950 A;nan
Niger;;5 Oct 1960 A;nan
Nigeria;;25 Nov 1960 A;nan
Niue;;5 May 1994 A;nan
North Macedonia;;22 Apr 1993 A;nan
Norway;22 Jul 1946;18 Aug 1947 A;nan
Oman;;28 May 1971 A;nan
Pakistan;;23 Jun 1948 A;nan
Palau;;9 Mar 1995 A;nan
Panama;22 Jul 1946;20 Feb 1951 A;nan
Papua New Guinea;;29 Apr 1976 A;nan
Paraguay;22 Jul 1946;4 Jan 1949 A;nan
Peru;22 Jul 1946;11 Nov 1949 A;nan
Philippines;22 Jul 1946;9 Jul 1948 A;nan
Poland;22 Jul 1946;6 May 1948 A;nan
Portugal;22 Jul 1946;13 Feb 1948 A;nan
Qatar;;11 May 1972 A;nan
Republic of Korea;;17 Aug 1949 A;nan
Republic of Moldova;;4 May 1992 A;nan
Romania;;8 Jun 1948 A;nan
Russian Federation;22 Jul 1946;24 Mar 1948 A;nan
Rwanda;;7 Nov 1962 A;nan
Samoa;;16 May 1962 A;nan
San Marino;;12 May 1980 A;nan
Sao Tome and Principe;;23 Mar 1976 A;nan
Saudi Arabia;22 Jul 1946;26 May 1947 A;nan
Senegal;;31 Oct 1960 A;nan
Serbia;;28 Nov 2000 A;nan
Seychelles;;11 Sep 1979 A;nan
Sierra Leone;;20 Oct 1961 A;nan
Singapore;;25 Feb 1966 A;nan
Slovakia 7;;4 Feb 1993 A;nan
Slovenia;;7 May 1992 A;nan
Solomon Islands;;4 Apr 1983 A;nan
Somalia;;26 Jan 1961 A;nan
South Africa;22 Jul 1946;7 Aug 1947 A;nan
South Sudan;;27 Sep 2011 A;nan
Spain;;28 May 1951 A;nan
Sri Lanka;;7 Jul 1948 A;nan
St. Kitts and Nevis;;3 Dec 1984 A;nan
St. Lucia;;11 Nov 1980 A;nan
St. Vincent and the Grenadines;;1 Sep 1983 A;nan
Sudan;;14 May 1956 A;nan
Suriname;;25 Mar 1976 A;nan
Sweden;13 Jan 1947;28 Aug 1947 A;nan
Switzerland;22 Jul 1946;26 Mar 1947 A;nan
Syrian Arab Republic;22 Jul 1946;18 Dec 1946 A;nan
Tajikistan;;4 May 1992 A;nan
Thailand;22 Jul 1946;26 Sep 1947 A;nan
Timor-Leste;;27 Sep 2002 A;nan
Togo;;13 May 1960 A;nan
Tonga;;14 Aug 1975 A;nan
Trinidad and Tobago;;3 Jan 1963 A;nan
Tunisia;;14 May 1956 A;nan
Türkiye;22 Jul 1946;2 Jan 1948 A;nan
Turkmenistan;;2 Jul 1992 A;nan
Tuvalu;;7 May 1993 A;nan
Uganda;;7 Mar 1963 A;nan
Ukraine;22 Jul 1946;3 Apr 1948 A;nan
United Arab Emirates;;30 Mar 1972 A;nan
United Kingdom of Great Britain and Northern Ireland;;22 Jul 1946 s;nan
United States of America 11;22 Jul 1946;21 Jun 1948 A;nan
Uruguay;22 Jul 1946;22 Apr 1949 A;nan
Uzbekistan;;22 May 1992 A;nan
Vanuatu;;7 Mar 1983 A;nan
Venezuela (Bolivarian Republic of);22 Jul 1946;7 Jul 1948 A;nan
Viet Nam 12;;17 May 1950 A;nan
Yemen 13;;6 May 1968 A;nan
Zambia;;2 Feb 1965 s;nan
Zimbabwe;;16 May 1980 A;nan
