COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
AZE;Azerbaijan;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 10";;;;;;;;;;;;AZ;AZE;AZE;nan
BHS;Bahamas;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 11";;;;;;;;;;;;BS;BHS;BHS;nan
BHR;Bahrain;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 12";;;;;;;;;;;;BH;BHR;BHR;nan
BGD;Bangladesh;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 13";;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 14";;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 15";;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 16";;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 17";;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 18";;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 19";;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 20";;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 21";;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 22";;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 23";;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 24";;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 25";;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 26";;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 27";;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 28";;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 29";;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 30";;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 31";;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 32";;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 33";;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 34";;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 35";;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 36";;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 37";;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 38";;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 39";;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 40";;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 41";;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 42";;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 43";;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 44";;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 45";;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 46";;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 47";;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 48";;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 49";;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 50";;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2023;Yes - there is policy/strategy AND legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 51";;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 52";;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 53";;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 54";;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 55";;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2023;No strategy or policy on child online protection;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 56";;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 57";;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 58";;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 59";;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 60";;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2023;No - no policy/strategy or legislation.;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 61";;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 62";;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 63";;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 64";;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2023;Partial - legislation but no strategy/policy;;"This indicator assesses whether the country has a national strategy or policy on child online protection. Data is from the ITU country profiles and the traffic light indicators at the top of each profile that indicate whether a country has a national strategy on child online protection and whether it has national legislation on child online protection. Answer options include: country has national strategy or policy and legislation = 3; country has legislation only = 2; country has no legislation or policy/strategy = 1; or no data = 65";;;;;;;;;;;;GH;GHA;GHA;nan
