Participant;Signature;Ratification, Accession(a), Succession(d);ATTR_ENDPOINT
Namibia;8 Sep 2000;16 Apr 2002;nan
Nauru;8 Sep 2000;;nan
Nepal;8 Sep 2000;20 Jan 2006;nan
Netherlands 5;7 Sep 2000;23 Aug 2005;nan
New Zealand 6;7 Sep 2000;20 Sep 2011;nan
Nicaragua;;2 Dec 2004 a;nan
Niger;27 Mar 2002;26 Oct 2004;nan
Nigeria;8 Sep 2000;27 Sep 2010;nan
North Macedonia;17 Jul 2001;17 Oct 2003;nan
Norway;13 Jun 2000;2 Oct 2001;nan
Oman;;17 Sep 2004 a;nan
Pakistan;26 Sep 2001;5 Jul 2011;nan
Panama;31 Oct 2000;9 Feb 2001;nan
Paraguay;13 Sep 2000;18 Aug 2003;nan
Peru;1 Nov 2000;8 May 2002;nan
Philippines;8 Sep 2000;28 May 2002;nan
Poland;13 Feb 2002;4 Feb 2005;nan
Portugal;6 Sep 2000;16 May 2003;nan
Qatar;;14 Dec 2001 a;nan
Republic of Korea;6 Sep 2000;24 Sep 2004;nan
Republic of Moldova;8 Feb 2002;12 Apr 2007;nan
Romania;6 Sep 2000;18 Oct 2001;nan
Russian Federation;26 Sep 2012;24 Sep 2013;nan
Rwanda;;14 Mar 2002 a;nan
Samoa;;29 Apr 2016 a;nan
San Marino;5 Jun 2000;26 Sep 2011;nan
Saudi Arabia;;18 Aug 2010 a;nan
Senegal;8 Sep 2000;5 Nov 2003;nan
Serbia;8 Oct 2001;10 Oct 2002;nan
Seychelles;23 Jan 2001;11 Dec 2012;nan
Sierra Leone;8 Sep 2000;17 Sep 2001;nan
Slovakia;30 Nov 2001;25 Jun 2004;nan
Slovenia;8 Sep 2000;23 Sep 2004;nan
Solomon Islands;24 Sep 2009;5 May 2022;nan
South Africa;;30 Jun 2003 a;nan
South Sudan;;27 Sep 2018 a;nan
Spain;6 Sep 2000;18 Dec 2001;nan
Sri Lanka;8 May 2002;22 Sep 2006;nan
St. Lucia;22 Sep 2011;8 Oct 2013;nan
St. Vincent and the Grenadines;;15 Sep 2005 a;nan
State of Palestine;;29 Dec 2017 a;nan
Sudan;;2 Nov 2004 a;nan
Suriname;10 May 2002;18 May 2012;nan
Sweden;8 Sep 2000;19 Jan 2007;nan
Switzerland;7 Sep 2000;19 Sep 2006;nan
Syrian Arab Republic;;15 May 2003 a;nan
Tajikistan;;5 Aug 2002 a;nan
Thailand;;11 Jan 2006 a;nan
Timor-Leste;;16 Apr 2003 a;nan
Togo;15 Nov 2001;2 Jul 2004;nan
Tunisia;22 Apr 2002;13 Sep 2002;nan
Türkiye;8 Sep 2000;19 Aug 2002;nan
Turkmenistan;;28 Mar 2005 a;nan
Uganda;;30 Nov 2001 a;nan
Ukraine;7 Sep 2000;3 Jul 2003;nan
United Arab Emirates;;2 Mar 2016 a;nan
United Kingdom of Great Britain and Northern Ireland 7, 8;7 Sep 2000;20 Feb 2009;nan
United Republic of Tanzania;;24 Apr 2003 a;nan
United States of America;5 Jul 2000;23 Dec 2002;nan
Uruguay;7 Sep 2000;3 Jul 2003;nan
Uzbekistan;;23 Dec 2008 a;nan
Vanuatu;16 Sep 2005;17 May 2007;nan
Venezuela (Bolivarian Republic of);7 Sep 2000;8 May 2002;nan
Viet Nam;8 Sep 2000;20 Dec 2001;nan
Yemen;;15 Dec 2004 a;nan
Zambia;29 Sep 2008;;nan
Zimbabwe;;14 Feb 2012 a;nan
