ISO_Code;UN_Reg;UN_SubReg;country_name_not_used;Ctry_Land;IC_T;IC_T_Src;IC_T_Cat;IC_F;IC_F_Src;IC_F_Cat;IC_NF;IC_NF_Src;IC_NF_Cat;IC_Notes;TIME_PERIOD;ATTR_ENDPOINT
ARM;Asia;Western Asia;Armenia;2829585.067;No data;;No data;;;No data;No data;;No data;;2017;
ABW;Americas;Caribbean;Aruba (Netherlands);18264.0;No data;;No data;;;No data;No data;;No data;;2017;
AUS;Oceania;Australia and New Zealand;Australia;762123480.0;67.5%;(Fabrice Dubertret, 2015 - Calculation based on Jon Altman, 2015 and Native Title Tribunal, 2015);60.1-80%;29.5;"(Jon Altman, 2015; personal calculations on Native Title Tribunal 2015 data)";20.1-40%;38.0%;"(Jon Altman, 2015; personal calculations on Native Title Tribunal 2015 data)";20.1-40%;"According to official governmental sources as of 31 December 2013, Indigenous land holdings in Australia totalled 250.0 Mha: 96.9 Mha of lands delivered to Indigenous traditional owners under Commonwealth and state land rights laws, 75.2 Mha of Native Title under exclusive possession (92 determinations), and 82.5 Mha of Native Tile non-exclusive possession (142 determinations offering very highly rights, often shared with other interests). In addition, 300 registered native title claims waiting a tribunal determination cover 320 Mha. <br>Source: Jon Altman, 2015, Economie et politiques des droits sur la terre des autochtones en Australie, in Bellier (dir.), Terres, Territoires, Ressources: Politiques, pratiques et droits des peuples autochtones, l'Harmattan, 394 p. Available at http://cicada.world/wp-content/uploads/2015/05/Jon-Altman_article.compressed.pdf<br><br>As many native titles, claimed or recognized, include ocean areas and as LandMark focuses on land exclusively, removing their offshore parts from the Native Title Tribunal datasets shows that formally recognized aboriginal land rights total 29.5% of Australia’s land mass; pending land claims cover an additional 38.0%.<br>While there exists Aboriginal land interest in 699 Indigenous Land Use Agreements (ILUAs), they are not included in the calculations as they represent a weaker form of property rights than land rights or Native Titles. Moreover, many overlaps exist between ILUAs and registered Native Title Claims.";2017;
AUT;Europe;Western Europe;Austria;8304227.2;No data;;No data;9.4;"(Eurostat, 2010; 2013)";5.1-20%;No data;;No data;"According to the Eurostats study on common lands in Europe (2010)[1], common lands in Austria are owned by an association of real estate property owners. They are managed by a plenary assembly of all its individual members, all having an affiliation as ""portion right"". These lands can be managed as one unit or divided in independent units for each member. Some agrarian communities are a few centuries old, but the legal form “agrarian community” has only been in existence for some decades. Most of these lands are located in the alpine region and are made up of grassland. As of 2013, common lands in Austria covered a total area of 782 071 ha (thus representing 9.42% of the country total land area).<br>Sources : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Eurostat, 2013. Austria - Farm structure (ef) - National Reference Metadata in ESS Standard for Quality Reports Structure (ESQRS). Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_at.htm";2017;
AZE;Asia;Western Asia;Azerbaijan;8490462.0;No data;;No data;;;No data;No data;;No data;;2017;
BHS;Americas;Caribbean;Bahamas;1262407.8;No data;;No data;;;No data;No data;;No data;;2017;
BHR;Asia;Western Asia;Bahrain;66633.4309;No data;;No data;;;No data;No data;;No data;[1] http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_at.htm;2017;
BGD;Asia;Southern Asia;Bangladesh;13618541.0;No data;;No data;;;No data;No data;;No data;"No data could be found in the literature regarding the area of indigenous and community lands in the country. <br>Nevertheless, at least 54 different Indigenous peoples are estimated to live in Bangladesh, totalling 3 million persons (2.1% of the total population). The government does not recognize these peoples as """"indigenous"""" but uses other terms. Indigenous peoples took arms in the Chittagong Hill Tracts (CHT) in 1976, and the area is now recognized as """"tribal inhabited"""" by the CHT """"Peace"""" Accord of 1997. Still, it lacks formal implementation of its provisions and land grabbing intensifies. <br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf";2017;
BRB;Americas;Caribbean;Barbados;43628.7;No data;;No data;;;No data;No data;;No data;;2017;
BLR;Europe;Eastern Europe;Belarus;20421616.916;No data;;No data;;;No data;No data;;No data;;2017;
BEL;Europe;Western Europe;Belgium;3045701.7;No data;;No data;;;No data;No data;;No data;The Eurostat survey of common lands in Belgium stipulates that such lands do not exist in Belgium as part of the utilised agricultural area.<br>Sources : Eurostat, 2013. Farm structure - Austria National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_be.htm;2017;
BLZ;Americas;Central America;Belize;2177355.0;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, according to national censuses, 26,000 self-identified Indigenous Peoples are living in Belize, representing 17.8% of the country's population.<br>International Work Group for Indigenous Affairs and Sille Stidsen, 2007. The Indigenous World 2007. Copenhagen: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0083_NY-THE_INDIGENOUS_ORLD-2007.pdf;2017;
BEN;Africa;Western Africa;Benin;11555121.9;77.9%;(Liz Alden Wily, 2015);60.1-80%;16.7;(Liz Alden Wily, 2015);5.1-20%;61.2%;(Liz Alden Wily, 2015);60.1-80%;"Identification of total community land area derives from excluding TPA, urban, private titled & rural public service land.<br>Decrease of 433,860 ha made to official Terrestrial Protected Area figure (WDPA, 2013) due to hunting areas believed to be fall within community lands as their Category denotes traditional resource management as the official regime.<br>Community lands defined as lawfully held when under certificates; use of data for >30,000 Rural Land Certificates issued by mid 2014 under aegis of c. 400 Community Land Plans (of a needed 3,300 Village Plans). Certificates only cover farms, not residences nor off-farm commons. Mainly issued to families & lineages. Certificate may be converted into formal title for stronger rights. Status of remaining est 6+ million ha of rural lands without Certificates is ambivalent.<br>Key source: pers. comm. Phillipe Lavigne Delville, Aug 2015, providing data from MCA and GIZ final reports on farm titling projects.<br>Also see Comlan Aguessi, 2015, Rural Land Tenure Registration in Benin: Facts and Challenges Paper presented to 2015 World Bank Land Conference. <br>Estimate of private rural lands includes village-based farm titling as above together with limited other private land titling in the rural sector; all sources confirm that most formal titling is within urban areas.<br>Refer elsewhere for review of laws against indicators (forthcoming, Liz Alden Wily).";2017;
BMU;Americas;Northern America;Bermuda (UK);6320.4839999999995;31.6%;(Gerardo Vergara-Asenjo, Catherine Potvin, 2014);20.1-40%;22.4;(Gerardo Vergara-Asenjo, Catherine Potvin, 2014);20.1-40%;9.2%;(Gerardo Vergara-Asenjo, Catherine Potvin, 2014);5.1-20%;There are no Indigenous peoples in Bermuda, the island was empty when the Europeans discovered it in the early 1500s.<br>Source : Minority Rights Group International, 2007. World Directory of Minorities and Indigenous Peoples - Bermuda,Â Available at: http://www.refworld.org/docid/4954ce0cc.html;2017;
BTN;Asia;Southern Asia;Bhutan;4002228.18;No data;;No data;;;No data;No data;;No data;;2017;
BOL;Americas;South America;Bolivia;106232130.0;No data;;No data;36.4;(RRI, 2015);20.1-40%;No data;;No data;Indigenous peoples and local communities own 38.92 Mha (35.93% of Bolivia land area) as Communal Properties, Communal Titles for Agricultural-Extractivist Communities in the Northern Amazonian Region, or claimed Original Peasant Indigenous Territory. They additionally have 0.47 Mha of lands designated for them as Location-Based Social Associations (representing 0.43% of the country land area). Thus, 36.36% of Bolivia landmass is formally recognized to Indigenous peoples and local communities.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
BES;Americas;Caribbean;Bonaire, Saint Eustatius and Saba (Netherlands);29436.93;No data;;No data;;;No data;No data;;No data;;2017;
BIH;Europe;Southern Europe;Bosnia and Herzegovina;5072826.2;No data;;No data;;;No data;No data;;No data;;2017;
BWA;Africa;Southern Africa;Botswana;57287471.9;71.3%;(Liz Alden Wily, 2015);60.1-80%;71.3;(Liz Alden Wily, 2015);60.1-80%;0;(Liz Alden Wily, 2015);0;"Official figure for community lands (tribal lands) is used here, but note: <br>(1) figure of 71.32% adjusted 40,740,311 ha to account for exclusion of inland water bodies.<br>(2) Official figure of private rural lands at 5.7% of country area (3,297,000 ha freehold) fails to account for private commercial leaseholds in community lands ('tribal land') at 335,300 ha. Real total:  3,622,100 ha with scope for further 5,109,400 ha due to zoning of tribal lands for commercial development.<br>(3) Available community lands is only 53.62% not 71.32% of country area as excludes commercial zones and already leased lands.<br>Security is also weak: no provision for collective title (either in customary or leasehold forms on tribal lands), no remote area settlements or community trusts managing wildlife in Wildlife Management Areas have received documentation and rising reports of reallocation of some of these lands to commercial ranching and tourism enterprises. <br>Recent sources:<br>Robert Hitchcock, pers. comm. Sept 2015; Richard White, pers. comm. Aug 2015. <br>Maria Sapignoli & Robert Hitchcock, ""Land Issues in Botswana in 2015"" (forthcoming Kalahari Peoples Fund).<br>Also see:<br>Maria Sapignoli, 2015 Dispossession in the Age of Humanity: Human Rights, Citizenship, and Indigeneity in the Central Kalahari, Anthropological Forum 2015 Routledge;<br>Richard White, 2009, Tribal Land Administration in Botswana, Policy Brief 31 PLASS, Cape Town, Mmegi wa Dikgang Newspaper 27 February 2013 & 18 March 2013 on the Kgalagadi Land Scandal;<br>Boga Thuru Manatsha, 24 April 2013, Tribal Land Administration: Some Critical Lessons, Mmegi wa Dikgang Newspaper;<br>Patrick Malope and B. Nnyaladzi Batisani, 2008, Land reform that excludes the poor: the case of Botswana, Development South Africa, Routledge.<br>Refer elsewhere for review of laws against indicators (Liz Alden Wily).";2017;
BVT;Antartica;Antartica;Bouvet Island (Norway);7723.24;No data;;No data;;;No data;No data;;No data;;2017;
BRA;Americas;South America;Brazil;841395308.16;No data;;No data;23.3;"(Fabrice Dubertret, 2015 - Calculation based on ISA,2015; INCRA, 2015; RRI, 2015)";20.1-40%;No data;;No data;According to the Instituto Socio Ambiantal, there is a total of 470 registered indigenous territories or in the process of registration (totaling 105.8 Mha), 103 others have been identified or are in the declaration process (totaling 6.7 Mha), and 125 additional territories are in the process of identification (representing 1.1 Mha). Thus, these 698 Indigenous territories total 113.63 Mha, which represent 13,6% of the total area of Brazil. <br>Source : Instituto Socio Ambiantal, 2015, web page : SituaciÃ³n JurÃ­dica de las TIs en Brasil en la actualidad, Available at : http://pib.socioambiental.org.br/es/c/0/1/2/situacao-juridica-das-tis-hoje.<br> <br>The official Agency of Agrarian Reform (INCRA) details the state of Quilombolas (Afro-descendant) territories in Brazil : 157 territories have been titled (totaling 1.0 Mha), 324 territories are in the process of documentation (2.5 Mha), and 1,290 other land petitions are waiting to be studied in the states of Roraima, ParÃ¡ and Acre. Thus, formally recognized Quilombolas territories total 3.5 Mha, representing  0.42% of Brazil's total area.<br>Source : INCRA website. Quilombolas.  Accessed 2015/10/29, Available at : http://www.incra.gov.br/quilombola<br><br>In addition to these lands, 77.19 Mha (9.24% of Brazil land area) are formally designated for  Indigenous peoples and local communities as Reserves, Sustainable Development Reserves, and Settlement Projects.<br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf;2017;
IOT;Asia;Southern Asia;British Indian Ocean Territory (UK);6418.1484;No data;;No data;;;No data;No data;;No data;;2017;
VGB;Americas;Caribbean;British Virgin Islands;16479.366;No data;;No data;;;No data;No data;;No data;;2017;
BRN;Asia;South-Eastern Asia;Brunei;576891.18;No data;;No data;;;No data;No data;;No data;No data could be found in the literature regarding the area of indigenous and community lands in the country.<br>However, it is known that Brunei is inhabited by indigenous peoples, who are the same as in the neighbouring Malaysian states of Sabah and Sarawak.<br>Source : Minority Rights Group International, 2008, World Directory of Minorities and Indigenous Peoples - Brunei Darussalam : Dusun, Murut, Kedayan, Iban, Tutong, Penan. Available at: http://www.refworld.org/docid/49749d48c.html;2017;
BGR;Europe;Eastern Europe;Bulgaria;11107617.0073;No data;;No data;7.7;"(Eurostat, 2010; 2013)";5.1-20%;No data;;No data;In Bulgaria, common lands are areas on which common rights are exercised by the holdings, without having ownership over the land itself. These lands are managed by different administrations: municipalities, the State, and the forestry agency. Administrative steps are under way in order to allocate common land to holdings with animals for individual use.<br>Thus, the amount of common land in Bulgaria is expected to decrease in the future. Their total area was estimated by Eurostat to be 856 025 hectares in 2013 (7.71% of the country land area).<br><br>As of 2015, only 541,368 hectares of common pastures in Bulgaria have been registered in the Land Parcel Identification System  for Bulgaria. This represents 61% of all grassland in this register, and about 4.9% of the total country land area.<br>Sources : Eurostat, 2010. Farm structure survey - common land. Available at : http://ec.europa.eu/eurostat/statistics-explained/index.php?title=Common_land_statistics_-_background&oldid=262743<br>Eurostat, 2013. Farm structure - Bulgaria National Methodology report. Available at : http://ec.europa.eu/eurostat/cache/metadata/EN/ef_esqrs_bg.htm<br>Stefanova, V., 2015. Commons in Bulgaria and some SE European states. Presentation at the EFNCP, available at : http://www.efncp.org/download/common-ground2015/Commons7Stefanova.pdf;2017;
BFA;Africa;Western Africa;Burkina Faso;27522987.396;83.3%;(Liz Alden Wily, 2015);80.1-100%;83.3;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;"Law (2012) protects customary rights without formal certification and treats customary rights as having equal force and effect as non-customary entitlements.<br>Certificates legally available to individuals, families & communities, as identified via community-managed local land charters. By June 2014 only 260 Certificates issued covering 9,052 ha.<br>Key sources:<br>Peter Hochet, pers comm July 2015; Situation as of 30 June 2014, extracted from MCC-Burkina Faso;<br>Peter Hochet, Juin 2014, Burkina Faso: vers la reconnaissance des droits fonciers locaux, Fiche Pays No. 5 Burkina Faso, AFD, Comite technique Foncier & developpement;<br>World Bank, MCC, MCA Bukina Faso et du PRGLA/PNUD, 2014, Cadre d'Analyse de la Gouvenance Fonciere du Bukina Faso, Rapport provisoire soumis a l'atelier de validation;<br>Ye Zhang and others, 2015, Impacts of Formalizing Customary Land Rights in Burkina Faso: Preliminary Findings from the Land Governance Project, Paper presented at World Bank Land Conference, March 2015.<br>Refer elsewhere for review of laws against indicators (forthcoming Liz Alden Wily).";2017;
BDI;Africa;Eastern Africa;Burundi;2508107.0;0.93;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;0.93;(Liz Alden Wily, 2015);80.1-100%;Total community land area estimated through exclusion of TPA, urban, private titled rural lands, and rural public service area. <br>The revised Land Code (2011) provides for customary occupants to be issued with certificates by local commune land services, piloting underway. The certificates may be converted into property titles. <br>The status of unregistered customary lands is unclear, as is the right of community land holders to secure off-farm lands (commons) due to retained legal provision that the private property of the state includes wastelands. <br>No information on number of certificates issued (Liz Alden Wily).;2017;
CIV;Africa;Western Africa;CÃ´te d'Ivoire;32049075.0;74.5%;(Liz Alden Wily, 2015);60.1-80%;0.1;(Liz Alden Wily, 2015);0.1-5%;74.4%;(Liz Alden Wily, 2015);60.1-80%;Law 1998 (2004) permits communities to secure Certificates of Occupancy but must be converted into non-customary title (Titre Foncier), which requires registration of legal entity and high costs. Only 809 certificates issue (35,462 ha), mainly for family lands inclusive of some commonage but secure only once converted into statutory title and almost no cases since 1999. Re-examination of legal norms underway.<br>Source: Liz Alden Wily, 2015 Time to Rethink? A Critique of Rural Land Law in Cote d'Ivoire, FERN, UK & Brussels.<br>Refer elsewhere for review of laws against indicators (forthcoming Liz Alden Wily).;2017;
KHM;Asia;South-Eastern Asia;Cambodia;17776122.0;No data;;No data;3.3;(RRI, 2015);0.1-5%;No data;;No data;0.58 Mha are formally designated to Indigenous peoples and communities through Community Forests with Signed Community Forestry Agreements and Community Protected Areas. 0.01 Mha are additionally recognized as Indigenous Communities' lands (the area may in fact be higher as not all the areas of the titled lands were available by the time of publication of the reviewed report). Thus, formally recognized indigenous and community lands in Cambodia cover 3.33% of the  country land area.  <br>Source : Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>Cambodia is home to 24 different Indigenous Peoples, estimated to account for 1 to 2% of the national population. The national policies towards Indigenous Peoples can arguably be considered as the most progressive of all the countries in mainland Southeast Asia, but lack implementation.<br>Source : International Work Group for Indigenous Affairs and Mikkelsen, C., 2015. The Indigenous World, 2015. Copenhagen, Denmark: International Work Group for Indigenous Affairs. Available at : http://www.iwgia.org/iwgia_files_publications_files/0716_THE_INDIGENOUS_ORLD_2015_eb.pdf;2017;
CMR;Africa;Middle Africa;Cameroon;46539127.0;82.2%;(Liz Alden Wily, 2015);80.1-100%;8.7;(Liz Alden Wily, 2015);5.1-20%;73.5%;(Liz Alden Wily, 2015);60.1-80%;Area of community lands estimated by exclusion of TPA, urban, rural titled land, and rural public service area.<br>Customary landholding is permissive only with tenure security achievable only through extinction of customary rights in favour of a private property right or issue of a lease on public land. No provision for community land or collective ownership. All community land is public/state domain with no legal changes since 1974 and static land policy development begun in 2011.<br>Since 1994 groups may sign contracts based on an approved management plan with the Forestry and Wildlife Department to harvest timber in up to 5,000 ha for 15 years (renewable). Only 2 of these 342 Community Forests were for protection in 2013.<br>Another 3.07 MHa is earmarked as Communal Hunting Zones but only a few are believed to be controlled by communities. <br>Refer: http://www.wri.org/sites/default/files/pdf/interactive_forest_atlas_of_cameroon_version_3_0.pdf. Updated information: Teodyl Nkintchua, CED (Centre for Environment and Development), Oct 2015. Land and forest rights legal review: <br>Liz Alden Wily, 2011, Whose land is it? The status of customary land tenure in Cameroon, CED, FERN & RFUK at: http://www.fern.org/publications/reports/whose-land-it-status-customary-land-tenure-cameroon<br>Refer legal review elsewhere on site (forthcoming Liz Alden Wily).;2017;
CAN;Americas;Northern America;Canada;959973659.3;No data;;No data;44.1;"(Fabrice Dubertret, 2015 - Calculation based on RRI, 2015; AANDC, 2015)";40.1-60%;No data;;No data;Since 1973, Canada has signed 26 comprehensive land claims (modern treaties) and 4 self-government agreements with Indigenous peoples. These claims generally arise in areas of Canada where Aboriginal land rights have not been dealt with by treaty or through other legal means. Through negotiation with the aboriginal signatories, the land claims settlement area is divided into different types of lands, offering different types of lands. They range from aboriginal ownership to resource access rights over public lands. Only land rights will be considered in this estimation, i.e. tracts of lands providing aboriginal parties a certain level of control over their lands, exercised through exclusion or management rights. Indigenous ownership cover 64.45 Mha, and 334.37 Mha of public lands are designated to aboriginal signatories. Thus, 43.86% of Canada land area is formally recognized as Indigenous land within the Modern Treaty system.<br>Sources :<br>Aboriginal Affairs and Northern Development Canada, Comprehensive Claims web page Accessed 2015/10/39, available at:  http://www.aadnc-aandc.gc.ca/eng/1100100030577/1100100030578<br>Rights and Resources Initiative, 2015, Who Owns the Worldâ€™s Land? A global baseline of formally recognized indigenous and community land rights. Washington, DC: RRI. Available at : http://www.rightsandresources.org/wp-content/uploads/GlobalBaseline_web.pdf<br><br>In addition to these, there are some Indian reserves, which are tracts of federal land set aside for the use and benefit of Indigenous peoples under the Indian Act. These 2267 reserves cover approximately 2.6 Mha, or 0.2 % of the total land area of Canada.<br>Source : Aboriginal Affairs and Northern Development Canada, 2015, Mining and Mineral Reports Web Page, https://www.aadnc-aandc.gc.ca/eng/1100100034846/1100100034847<br><br>More land claims are still being submitted, discussed or negotiated across Canada, but no estimates of their total area could be found in the literature.;2017;
CPV;Africa;Western Africa;Cape Verde;410515.0;86.5%;(Liz Alden Wily, 2015);80.1-100%;;(Liz Alden Wily, 2015);No data;No data;(Liz Alden Wily, 2015);No data;No data on legal recognition of community lands.<br>Area of community lands with/without recognition is strictly an estimate, based on excluding the protected areas, urban area, estimate of the area under private title, and exclusion of standard 1% of land area for rural public service lands (airports, roads, etc.).;2017;
CYM;Americas;Caribbean;Cayman Islands (UK);27898.233;No data;;No data;;;No data;No data;;No data;;2017;
CAF;Africa;Middle Africa;Central African Republic;62188254.5;81.9%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;81.9%;(Liz Alden Wily, 2015);80.1-100%;"Community land area estimated by excluding Terrestrial Protected Areas (TPA), urban lands, estimate of titled rural land and standard 1% country area to cover likely rural public service lands. Area of TPA reduced by 1% to exclude PA denoted by WPDA 2013 as under community management.<br>Loi Relative au Domain National No 63-441 of 1964 assures communities only permissive occupancy and use on state land (Art. 3). Notion of terres sans maitres retained and undeveloped (i.e. uncultivated) lands also declared  the property of the state (Art. 38).<br>However, the Project de Loi No. 08 of 2009 portant code foncier agropastoral en Republique Centreafricaine provides for village land commissions to administer land (Art. 15); customary right holders will be assured access through customary norms or through statutory title (Art. 4).  Chief-led commissions will be permitted to regulate lands in accordance with custom (Art. 5). No application decrees issued.<br>New land reform launched in 2012 including aim to harmonise contradictory natural resource laws. Constitution affords in principle protection of indigenous peoples but no delivery.";2017;
TCD;Africa;Middle Africa;Chad;127169169.76;88.9%;(Liz Alden Wily, 2015);80.1-100%;0;(Liz Alden Wily, 2015);0;88.9%;(Liz Alden Wily, 2015);80.1-100%;"Legal possibility under Law No. 08-014 (2008) (Art. 89-90) to be granted title to reforested areas and acknowledged customary rights to sacred forests. No data on areas.<br>Tenure security is limited; rights may only be secured through issue of non-customary titles (Law no. 24 of 1967). Law reform underway (2015).<br>Refer elsewhere on site for review against indicators (Liz Alden Wily).";2017;
