COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_COMMENT_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BEN;Benin;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2019;There is a pollutant release and transfer register, but there is no specific national legal instrument;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2019;Yes, there is a national legal instrument specifically providing for pollutant release and transfer registers;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;DJ;DJI;DJI;nan
DMA;Dominica;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;DM;DMA;DMA;nan
DOM;Dominican Republic;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;DO;DOM;DOM;nan
ECU;Ecuador;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;EC;ECU;ECU;nan
EGY;Egypt;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2019;No;"This indicator records whether a country has a law requiring a pollutant release and transfer register. Information collected and published in these registers can shed light on compliance with permits and other requirements, demonstrating the effectiveness, or ineffectiveness, of current pollution control laws. The data is taken from Figure 3.9: Countries with Pollutant Release and Transfer Registers. p.113. UNEP Environmental Rule of Law: First Global Report. 2019.
2 = Yes ( there is a national legal instrument specifically providing for pollutant release and transfer registers); 
1 = No (There is a pollutant release and transfer register, but there is no specific national legal instrument) ; 0 = No";;;;;;;;;;;;;GQ;GNQ;GNQ;nan
