goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;ATTR_ENDPOINT
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;148;Chad;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;152;Chile;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;156;China;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;170;Colombia;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;174;Comoros;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;188;Costa Rica;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;384;Côte d'Ivoire;2020.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;191;Croatia;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;192;Cuba;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;203;Czechia;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;180;Democratic Republic of the Congo;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;214;Dominican Republic;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;14;Eastern Africa;2017.0;8;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;753;Eastern and South-Eastern Asia;2017.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;753;Eastern and South-Eastern Asia;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;753;Eastern and South-Eastern Asia;2020.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;753;Eastern and South-Eastern Asia;2021.0;2;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;30;Eastern Asia;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;151;Eastern Europe;2017.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;151;Eastern Europe;2019.0;1;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;151;Eastern Europe;2020.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;151;Eastern Europe;2021.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;218;Ecuador;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;222;El Salvador;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;231;Ethiopia;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;150;Europe;2017.0;4;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;150;Europe;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;150;Europe;2020.0;7;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;150;Europe;2021.0;12;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;513;Europe and Northern America;2017.0;4;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;513;Europe and Northern America;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;513;Europe and Northern America;2020.0;7;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;513;Europe and Northern America;2021.0;13;Float;;;;;;10YFP / WESR ;;[''];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_CNTRY;"Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO)";176;246;Finland;2020.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_CNTRY&pageSize=999999999
