Participant;Signature;Ratification, Acceptance(A), Accession(a), Succession(d);ATTR_ENDPOINT
Türkiye;14 Sep 1990;4 Apr 1995;nan
Turkmenistan;;20 Sep 1993 a;nan
Tuvalu;;22 Sep 1995 a;nan
Uganda;17 Aug 1990;17 Aug 1990;nan
Ukraine;21 Feb 1990;28 Aug 1991;nan
United Arab Emirates;;3 Jan 1997 a;nan
United Kingdom of Great Britain and Northern Ireland 6, 18, 19, 20;19 Apr 1990;16 Dec 1991;nan
United Republic of Tanzania;1 Jun 1990;10 Jun 1991;nan
United States of America;16 Feb 1995;;nan
Uruguay;26 Jan 1990;20 Nov 1990;nan
Uzbekistan;;29 Jun 1994 a;nan
Vanuatu;30 Sep 1990;7 Jul 1993;nan
Venezuela (Bolivarian Republic of);26 Jan 1990;13 Sep 1990;nan
Viet Nam;26 Jan 1990;28 Feb 1990;nan
Yemen 21;13 Feb 1990;1 May 1991;nan
Zambia;30 Sep 1990;6 Dec 1991;nan
Zimbabwe;8 Mar 1990;11 Sep 1990;nan
