COUNTRY_ISO_3;TIME_PERIOD;population;COUNTRY_ISO_3_original;country_col_not_used;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;ATTR_ENDPOINT
BEL;2022;11655.93;BEL;Belgium;431.15392765742416;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BE;BEL;
BLZ;2022;405.2725;BLZ;Belize;1505.9003509984022;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BZ;BLZ;
BEN;2022;13352.864;BEN;Benin;46.454453516489046;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BJ;BEN;
BTN;2022;782.455;BTN;Bhutan;870.5931970528657;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BT;BTN;
BOL;2022;12224.11;BOL;Bolivia;378.74331955455244;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BO;BOL;
BIH;2022;3233.5265;BIH;Bosnia and Herzegovina;374.6683381132024;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BA;BIH;
BWA;2022;2630.296;BWA;Botswana;170.85529537360057;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BW;BWA;
BRA;2022;215313.498;BRA;Brazil;283.8790905714606;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BR;BRA;
BRN;2022;449.0015;BRN;Brunei;665.4766186749932;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BN;BRN;
BGR;2022;6781.953;BGR;Bulgaria;470.9115501095333;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BG;BGR;
BFA;2022;22673.762;BFA;Burkina Faso;13.456081968223888;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BF;BFA;
BDI;2022;12889.5765;BDI;Burundi;17.642162254128365;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;BI;BDI;
CPV;2022;593.1495;CPV;Cabo Verde;604.2321539510697;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CV;CPV;
KHM;2022;16767.8425;KHM;Cambodia;1359.4772255285675;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;KH;KHM;
CMR;2022;27914.5365;CMR;Cameroon;35.57644598540979;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CM;CMR;
CAN;2022;38454.327;CAN;Canada;463.66693662328305;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;;;
CAF;2022;5579.1435;CAF;Central African Republic;4.445126747501655;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CF;CAF;
TCD;2022;17723.3145;TCD;Chad;7.092352844046186;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;TD;TCD;
CHL;2022;19603.733;CHL;Chile;328.5292653190084;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CL;CHL;
CHN;2022;1425887.337;CHN;China;0.5153282317142844;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CN;CHN;
COL;2022;51874.024;COL;Colombia;1249.0008486713891;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CO;COL;
COM;2022;836.7735;COM;Comoros;501.21090115784017;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;KM;COM;
COG;2022;5970.424;COG;Congo;38.55672561948699;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CG;COG;
COD;2022;99010.212;COD;DR Congo;12.172481763800283;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;;;
CRI;2022;5180.829;CRI;Costa Rica;473.53425484608744;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CR;CRI;
CIV;2022;28160.5425;CIV;Côte d'Ivoire;96.29075860310576;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;;;
HRV;2022;4030.3575;HRV;Croatia;290.12314664393915;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;HR;HRV;
CUB;2022;11212.191;CUB;Cuba;110.25498941286318;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CU;CUB;
CYP;2022;1251.4885;CYP;Cyprus;588.1795957373959;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CY;CYP;
CZE;2022;10493.986;CZE;Czech Republic;590.7574109590007;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;CZ;CZE;
DNK;2022;5882.2615;DNK;Denmark;513.6629848911002;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DK;DNK;
DJI;2022;1120.8485;DJI;Djibouti;159.16513248668306;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DJ;DJI;
DMA;2022;72.7375;DMA;Dominica;541.6738271180616;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DM;DMA;
DOM;2022;11228.821;DOM;Dominican Republic;1163.3901724856064;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DO;DOM;
ECU;2022;18001.0;ECU;Ecuador;935.0258318982279;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;EC;ECU;
EGY;2022;110990.103;EGY;Egypt;388.36255517305;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;EG;EGY;
SLV;2022;6336.392;SLV;El Salvador;735.7341528112529;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;SV;SLV;
GNQ;2022;1674.908;GNQ;Equatorial Guinea;15.881469310553179;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GQ;GNQ;
ERI;2022;3684.0315;ERI;Eritrea;6.188872163552348;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;ER;ERI;
EST;2022;1326.062;EST;Estonia;483.23532383855354;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;EE;EST;
SWZ;2022;1201.6705;SWZ;Swaziland;69.40338470487542;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;;;
ETH;2022;123379.9245;ETH;Ethiopia;9.033884600893884;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;ET;ETH;
FJI;2022;929.766;FJI;Fiji;650.2711434920185;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;FJ;FJI;
FIN;2022;5540.7455;FIN;Finland;196.79662240397073;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;FI;FIN;
FRA;2022;64626.628;FRA;France;351.96792257210143;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;FR;FRA;
GAB;2022;2388.9925;GAB;Gabon;102.13510507044288;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GA;GAB;
GMB;2022;2705.992;GMB;Gambia;16.14934560043045;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GM;GMB;
GEO;2022;3744.3855;GEO;Georgia;346.2784480924841;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GE;GEO;
DEU;2022;83369.843;DEU;Germany;165.75897833944583;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;DE;DEU;
GHA;2022;33475.8705;GHA;Ghana;65.44714050079745;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GH;GHA;
GRC;2022;10384.971;GRC;Greece;417.3820032814728;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GR;GRC;
GRD;2022;125.4375;GRD;Grenada;670.4534130543099;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GD;GRD;
GTM;2022;17843.908;GTM;Guatemala;489.7469769514616;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GT;GTM;
GIN;2022;13859.3405;GIN;Guinea;32.89478312478144;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GN;GIN;
GNB;2022;2105.5655;GNB;Guinea-Bissau;10.54348582364215;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;;;
GUY;2022;808.7255;GUY;Guyana;512.5348464961226;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;GY;GUY;
HTI;2022;11584.9955;HTI;Haiti;45.13596919394573;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;HT;HTI;
HND;2022;10432.8595;HND;Honduras;677.6378039021804;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;HN;HND;
HUN;2022;9967.3075;HUN;Hungary;1097.929405709616;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;HU;HUN;
ISL;2022;372.8985;ISL;Iceland;734.5162289470192;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IS;ISL;
IND;2022;1417173.1725;IND;India;400.4679251716501;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IN;IND;
IDN;2022;275501.339;IDN;Indonesia;681.6703711193215;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;ID;IDN;
IRN;2022;88550.57;IRN;Iran;297.8738589712071;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IR;IRN;
IRQ;2022;44496.1215;IRQ;Iraq;2035.869575733696;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IQ;IRQ;
IRL;2022;5023.1085;IRL;Ireland;393.58098675352124;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IE;IRL;
ISR;2022;9038.309;ISR;Israel;246.17436735123795;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IL;ISR;
ITA;2022;59037.474;ITA;Italy;163.47582892858864;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;IT;ITA;
JAM;2022;2827.377;JAM;Jamaica;210.5485048509626;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;JM;JAM;
JPN;2022;123951.692;JPN;Japan;74.63391463829312;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;JP;JPN;
JOR;2022;11285.8685;JOR;Jordan;649.972131077019;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;JO;JOR;
KAZ;2022;19397.998;KAZ;Kazakhstan;87.92144426450606;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;KZ;KAZ;
KEN;2022;54027.487;KEN;Kenya;40.24803152513831;;"This indicator measures reports of multiple forms of online child sexual exploitation material (CSAM) uploaded online and which are reported by law by US companies to the NCMEC CyberTipline. Data is country specific but may be impacted by the use of proxies and anonymizers and presence of US data/internet providers
";;;;;;;;;;;;KE;KEN;
