goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Reporting Type;dimensions.Policy instruments;ATTR_ENDPOINT
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;40;Austria;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;31;Azerbaijan;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;48;Bahrain;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;52;Barbados;2020.0;1;Float;;;;;;Ministry of Environment and National Beautification;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;56;Belgium;2021.0;1;Float;;;;;;Federal Planning Bureau (FPB) and Secretariat-General, Public Service of Wallonia;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;56;Belgium;2021.0;1;Float;;;;;;Federal Planning Bureau (FPB) and Secretariat-General, Public Service of Wallonia;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;56;Belgium;2021.0;1;Float;;;;;;Federal Planning Bureau (FPB) and Secretariat-General, Public Service of Wallonia;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;56;Belgium;2021.0;1;Float;;;;;;Federal Planning Bureau (FPB) and Secretariat-General, Public Service of Wallonia;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_ECONFIS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;64;Bhutan;2019.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;76;Brazil;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;100;Bulgaria;2021.0;1;Float;;;;;;Ministry of Environment and Water;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;100;Bulgaria;2021.0;1;Float;;;;;;Ministry of Environment and Water;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_ECONFIS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;100;Bulgaria;2021.0;1;Float;;;;;;Ministry of Environment and Water;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;854;Burkina Faso;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;29;Caribbean;2017.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;148;Chad;2021.0;1;Float;;;;;;Ministry of Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;152;Chile;2021.0;1;Float;;;;;;Ministry of Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;156;China;2019.0;1;Float;;;;;;ASEAN Environmental Cooperation Center (CAEC);;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;156;China;2019.0;1;Float;;;;;;ASEAN Environmental Cooperation Center (CAEC);;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;170;Colombia;2019.0;1;Float;;;;;;Ministerio de Ambiente y Desarrollo Sostenible;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;188;Costa Rica;2021.0;1;Float;;;;;;Direccion de Gestion de Calidad Ambiental;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_ECONFIS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;188;Costa Rica;2021.0;1;Float;;;;;;Direccion de Gestion de Calidad Ambiental;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;188;Costa Rica;2021.0;1;Float;;;;;;Direccion de Gestion de Calidad Ambiental;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;188;Costa Rica;2021.0;1;Float;;;;;;Direccion de Gestion de Calidad Ambiental;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;384;Côte d'Ivoire;2020.0;1;Float;;;;;;Ministere de lâ€™Environnement et du Developpement Durable;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;384;Côte d'Ivoire;2020.0;1;Float;;;;;;Ministere de lâ€™Environnement et du Developpement Durable;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;191;Croatia;2021.0;1;Float;;;;;;Ministry for Economy and Sustainable Development;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;191;Croatia;2021.0;1;Float;;;;;;Ministry for Economy and Sustainable Development;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;192;Cuba;2019.0;1;Float;;;;;;Ministry of Science, Technology and Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;192;Cuba;2019.0;1;Float;;;;;;Ministry of Science, Technology and Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;192;Cuba;2019.0;1;Float;;;;;;Ministry of Science, Technology and Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;203;Czechia;2019.0;1;Float;;;;;;Ministry of Environment;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;180;Democratic Republic of the Congo;2021.0;1;Float;;;;;;10YFP / WESR ;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;214;Dominican Republic;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;30;Eastern Asia;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;151;Eastern Europe;2020.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;218;Ecuador;2019.0;1;Float;;;;;;Ecuador Ministerio del Ambiente;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;218;Ecuador;2019.0;1;Float;;;;;;Ecuador Ministerio del Ambiente;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;218;Ecuador;2019.0;1;Float;;;;;;Ecuador Ministerio del Ambiente;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;222;El Salvador;2019.0;1;Float;;;;;;EL SALVADOR MINISTERIO DE MEDIO AMBIENTE Y RECURSOS NATURALES;;['Official reporting (2019-2021)'];C;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;231;Ethiopia;2017.0;1;Float;;;;;;10YFP / WESR ;;['Pilot reporting (2017)'];C;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2017.0;1;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2017.0;1;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2017.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2019.0;3;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2020.0;7;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2020.0;2;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2020.0;1;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2021.0;7;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2021.0;5;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_VOLSRG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2021.0;5;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_ECONFIS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2021.0;8;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_REGLEG;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
['12'];['12.1'];['12.1.1'];SG_SCP_POLINS;"Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO)";215;150;Europe;2022.0;4;Float;;;;;;10YFP / WESR ;;[''];N;NUMBER;A;G;POLICY_MACRO;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SG_SCP_POLINS&pageSize=999999999
