goal;target;indicator;series;seriesDescription;seriesCount;geoAreaCode;geoAreaName;timePeriodStart;value;valueType;time_detail;timeCoverage;upperBound;lowerBound;basePeriod;source;geoInfoUrl;footnotes;attributes.Nature;attributes.Units;attributes.Observation Status;dimensions.Sex;dimensions.Reporting Type;ATTR_ENDPOINT
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;53;Australia and New Zealand;2016.0;99.8;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['To interpret with caution: estimates based on reported data coverage below 40% of the population'];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;53;Australia and New Zealand;2020.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['Data are not strictly comparable to 2016 regional estimates due to methodological enhancements, extended data availability and country revisions. '];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;40;Austria;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;40;Austria;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;31;Azerbaijan;2016.0;14;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;31;Azerbaijan;2020.0;16;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;44;Bahamas;2020.0;46.5;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;50;Bangladesh;2016.0;20.9;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;112;Belarus;2020.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;56;Belgium;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;56;Belgium;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;84;Belize;2020.0;19.9;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;204;Benin;2020.0;41;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;64;Bhutan;2020.0;10.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;68;Bolivia (Plurinational State of);2016.0;51.5;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;68;Bolivia (Plurinational State of);2020.0;59.3;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;70;Bosnia and Herzegovina;2020.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;72;Botswana;2020.0;24;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;76;Brazil;2016.0;45;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;76;Brazil;2020.0;47.8;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;96;Brunei Darussalam;2020.0;62.9;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;100;Bulgaria;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;100;Bulgaria;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;854;Burkina Faso;2016.0;0.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;132;Cabo Verde;2020.0;19.3;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;116;Cambodia;2017.0;1.5;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;120;Cameroon;2016.0;0.6;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;120;Cameroon;2020.0;8.9;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;124;Canada;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;124;Canada;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;29;Caribbean;2016.0;70.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['To interpret with caution: estimates based on reported data coverage below 40% of the population'];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;140;Central African Republic;2020.0;0.1;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;13;Central America;2016.0;59.1;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['To interpret with caution: estimates based on reported data coverage below 40% of the population'];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;62;Central and Southern Asia;2016.0;42;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;62;Central and Southern Asia;2020.0;33.6;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['Data are not strictly comparable to 2016 regional estimates due to methodological enhancements, extended data availability and country revisions.'];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;143;Central Asia;2016.0;42.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;143;Central Asia;2020.0;32.8;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;['Data are not strictly comparable to 2016 regional estimates due to methodological enhancements, extended data availability and country revisions.'];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;152;Chile;2016.0;44;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;152;Chile;2020.0;46.6;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;156;China;2017.0;64.9;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;156;China;2020.0;69;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;188;Costa Rica;2020.0;23.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;191;Croatia;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;191;Croatia;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;192;Cuba;2020.0;42.7;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;196;Cyprus;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;196;Cyprus;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;203;Czechia;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;203;Czechia;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;208;Denmark;2016.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;208;Denmark;2018.0;100;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;262;Djibouti;2019.0;4.8;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;212;Dominica;2020.0;38.6;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
['1'];['1.3'];['1.3.1'];SI_COV_MATNL;[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%);254;214;Dominican Republic;2020.0;17.4;Float;;;;;;Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI);;[''];E;PERCENT;A;FEMALE;G;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_MATNL&pageSize=999999999
