COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
BGD;Bangladesh;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BD;BGD;BGD;nan
BRB;Barbados;2016.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BB;BRB;BRB;nan
BLR;Belarus;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BY;BLR;BLR;nan
BEL;Belgium;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BE;BEL;BEL;nan
BLZ;Belize;2018.0;No data;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BZ;BLZ;BLZ;nan
BEN;Benin;2022.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BJ;BEN;BEN;nan
BTN;Bhutan;2022.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BT;BTN;BTN;nan
BOL;Bolivia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BO;BOL;BOL;nan
BIH;Bosnia and Herzegovina;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BA;BIH;BIH;nan
BWA;Botswana;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BW;BWA;BWA;nan
BRA;Brazil;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BR;BRA;BRA;nan
BRN;Brunei;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BN;BRN;BRN;nan
BGR;Bulgaria;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BG;BGR;BGR;nan
BFA;Burkina Faso;2018.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BF;BFA;BFA;nan
BDI;Burundi;2016.0;Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;BI;BDI;BDI;nan
CPV;Cabo Verde;2022.0;Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CV;CPV;CPV;nan
KHM;Cambodia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;KH;KHM;KHM;nan
CMR;Cameroon;2018.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CM;CMR;CMR;nan
CAN;Canada;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;;;CAN;nan
CAF;Central African Republic;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CF;CAF;CAF;nan
TCD;Chad;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;TD;TCD;TCD;nan
CHL;Chile;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CL;CHL;CHL;nan
CHN;China;2022.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CN;CHN;CHN;nan
COL;Colombia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CO;COL;COL;nan
COM;Comoros;2016.0;Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;KM;COM;COM;nan
COG;Congo;2016.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CG;COG;COG;nan
COD;DR Congo;2022.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;;;COD;nan
CRI;Costa Rica;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CR;CRI;CRI;nan
CIV;Côte d'Ivoire;2018.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;;;CIV;nan
HRV;Croatia;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;HR;HRV;HRV;nan
CUB;Cuba;2018.0;Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CU;CUB;CUB;nan
CYP;Cyprus;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CY;CYP;CYP;nan
CZE;Czech Republic;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;CZ;CZE;CZE;nan
DNK;Denmark;2022.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;DK;DNK;DNK;nan
DJI;Djibouti;2018.0;Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol;;"This indicator assesses whether the country has legislation that covers all forms of trafficking as indicated in the UN Trafficking in Persons Protocol. Data is taken from the UNODC Global Reports on Trafficking in Persons. Answers include:
3 = Yes, covers all forms of trafficking indicated in the UN Trafficking in Persons Protocol.
2 = Partially covers forms of trafficking indicated in the UN Trafficking in Persons Protocol.
1 = Does not cover forms of trafficking indicated in the UN Trafficking in Person Protocol
0 = No data";;;;;;;;;;;;DJ;DJI;DJI;nan
