DATAFLOW;REF_AREA:Geographic area;INDICATOR:Indicator;SEX:Sex;AGE:Current age;EDUCATION_LEVEL:Education Level;WEALTH_QUINTILE:Wealth Quintile;RESIDENCE:Residence;NUMBER_CHLD:Number of Living Children;TIME_PERIOD:Time period;OBS_VALUE:Observation Value;UNIT_MULTIPLIER:Unit multiplier;UNIT_MEASURE:Unit of measure;SOURCE_LINK:Citation of or link to the data source;SERIES_FOOTNOTE:Series footnote;SOWC_FLAG_C:SOWC flag C;SOWC_FLAG_A:SOWC flag A;SOWC_FLAG_B:SOWC flag B;OBS_STATUS:Observation Status;OBS_CONF:Observation confidentaility;DATA_SOURCE:Data Source;LOWER_BOUND:Lower Bound;UPPER_BOUND:Upper Bound;WGTD_SAMPL_SIZE:Weighted Sample Size;UNWGTD_SAMPL_SIZE:Unweighted Sample Size;TIME_PERIOD_METHOD:Time period activity related to when the data are collected;COVERAGE_TIME:The period of time for which data are provided;FREQ_COLL:Time interval at which the source data are collected;OBS_FOOTNOTE:Observation footnote;ATTR_ENDPOINT
UNICEF:PT(1.0): Child Protection;ARE: United Arab Emirates;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;32.5;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARE: United Arab Emirates;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;27.1;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARG: Argentina;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2012;24.2;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2012;;;;;EOF: End of fieldwork;2012;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARG: Argentina;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2012;24.8;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2012;;;;;EOF: End of fieldwork;2012;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARG: Argentina;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2012;24.5;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2012;;;;;EOF: End of fieldwork;2012;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARM: Armenia;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;14.547;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARM: Armenia;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;19.112;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ARM: Armenia;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;16.829;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ATG: Antigua and Barbuda;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2009;26.7;;PCNT: %;;;;x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.;;RP: Reported;F: Free;GSHS 2009;;;;;EOF: End of fieldwork;2009;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ATG: Antigua and Barbuda;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2009;23.5;;PCNT: %;;;;x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.;;RP: Reported;F: Free;GSHS 2009;;;;;EOF: End of fieldwork;2009;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;ATG: Antigua and Barbuda;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2009;24.9;;PCNT: %;;;;x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.;;RP: Reported;F: Free;GSHS 2009;;;;;EOF: End of fieldwork;2009;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AUS: Australia;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2015;34.0;;PCNT: %;;;;;y: Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.;RP: Reported;F: Free;TIMSS 2015;;;;;EOF: End of fieldwork;2015;0: Not Known;Average age at time of survey was 14 years and definition differs from the standard;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AUT: Austria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;21.137;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AUT: Austria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;20.44;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AUT: Austria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;20.789;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AZE: Azerbaijan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;26.471;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AZE: Azerbaijan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;24.987;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;AZE: Azerbaijan;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;25.729;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEL: Belgium;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;18.159;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEL: Belgium;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;16.097;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEL: Belgium;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;17.128;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEN: Benin;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;51.5;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEN: Benin;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;47.4;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BEN: Benin;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;49.0;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGD: Bangladesh;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;17.3;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGD: Bangladesh;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;27.1;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGD: Bangladesh;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2014;23.6;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2014;;;;;EOF: End of fieldwork;2014;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGR: Bulgaria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;32.961;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGR: Bulgaria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;35.124;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BGR: Bulgaria;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2018;34.042;;PCNT: %;;;;;;RA: Reanalysed;F: Free;HBSC 2017/18;;;;;EOF: End of fieldwork;2017-18;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BHR: Bahrain;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;22.8;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BHR: Bahrain;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;35.6;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BHR: Bahrain;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;_T: Total;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2016;29.4;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2016;;;;;EOF: End of fieldwork;2016;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BHS: Bahamas;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;F: Female;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2013;22.0;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2013;;;;;EOF: End of fieldwork;2013;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
UNICEF:PT(1.0): Child Protection;BHS: Bahamas;PT_ST_13-15_BUL_30-DYS: Percentage of students (aged 13-15 years) who reported being bullied on 1 or more days in the past 30 days;M: Male;Y13T15: 13 to 15 years;_T: Total;_T: Total;_T: Total;_T: Total;2013;24.7;;PCNT: %;;;;;;RP: Reported;F: Free;GSHS 2013;;;;;EOF: End of fieldwork;2013;0: Not Known;;https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,PT,1.0/.PT_ST_13-15_BUL_30-DYS......?format=sdmx-csv
