COUNTRY_ISO_3_original;country_col_not_used;TIME_PERIOD;RAW_OBS_VALUE;ATTR_UNIT_MEASURE;ATTR_NOTE_OF_SOURCE;ATTR_INDICATOR_NOTE_OF_SOURCE;ATTR_SOURCE_COMMENT;ATTR_ENCODING_LABELS;ATTR_SOURCE;ATTR_SOURCE_BODY;INDICATOR_CODE;INDICATOR_NAME;INDIATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_DESCRIPTION;Unnamed: 35;COUNTRY_ISO_2_country_list;COUNTRY_ISO_3_country_list;COUNTRY_ISO_3;ATTR_ENDPOINT
EGY;Egypt;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;EG;EGY;EGY;nan
SLV;El Salvador;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;SV;SLV;SLV;nan
GNQ;Equatorial Guinea;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GQ;GNQ;GNQ;nan
ERI;Eritrea;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;ER;ERI;ERI;nan
EST;Estonia;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;EE;EST;EST;nan
SWZ;Swaziland;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;SWZ;nan
ETH;Ethiopia;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;ET;ETH;ETH;nan
FJI;Fiji;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;FJ;FJI;FJI;nan
FIN;Finland;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;FI;FIN;FIN;nan
FRA;France;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;FR;FRA;FRA;nan
GAB;Gabon;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GA;GAB;GAB;nan
GMB;Gambia;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GM;GMB;GMB;nan
GEO;Georgia;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GE;GEO;GEO;nan
DEU;Germany;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;DE;DEU;DEU;nan
GHA;Ghana;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GH;GHA;GHA;nan
GRC;Greece;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GR;GRC;GRC;nan
GRD;Grenada;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GD;GRD;GRD;nan
GTM;Guatemala;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GT;GTM;GTM;nan
GIN;Guinea;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GN;GIN;GIN;nan
GNB;Guinea-Bissau;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;GNB;nan
GUY;Guyana;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;GY;GUY;GUY;nan
HTI;Haiti;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;HT;HTI;HTI;nan
HND;Honduras;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;HN;HND;HND;nan
HUN;Hungary;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;HU;HUN;HUN;nan
ISL;Iceland;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IS;ISL;ISL;nan
IND;India;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IN;IND;IND;nan
IDN;Indonesia;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;ID;IDN;IDN;nan
IRN;Iran;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IR;IRN;IRN;nan
IRQ;Iraq;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IQ;IRQ;IRQ;nan
IRL;Ireland;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IE;IRL;IRL;nan
ISR;Israel;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IL;ISR;ISR;nan
ITA;Italy;2022.0;1;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;IT;ITA;ITA;nan
JAM;Jamaica;2022.0;3;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;JM;JAM;JAM;nan
JPN;Japan;2022.0;2;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;JP;JPN;JPN;nan
JOR;Jordan;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;JO;JOR;JOR;nan
KAZ;Kazakhstan;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KZ;KAZ;KAZ;nan
KEN;Kenya;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KE;KEN;KEN;nan
KIR;Kiribati;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KI;KIR;KIR;nan
PRK;North Korea;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;PRK;nan
KOR;South Korea;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;KOR;nan
XK;Kosovo;2022.0;0;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;XK;XKX;XK;nan
KWT;Kuwait;2022.0;5;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;KW;KWT;KWT;nan
KGZ;Kyrgyzstan;2022.0;4;;;This indicator is drawn from the ITUC annual global rights index which documents violations of internationally recognised collective labour rights by governments and employers. The methodology is grounded in standards of fundamental rights at work, in particular the right to freedom of association, the right to collective bargaining and the right to strike.;;;;;;;;;;;;;;KGZ;nan
