Participant;Signature;Approval(AA), Acceptance(A), Accession(a), Succession(d), Ratification;ATTR_ENDPOINT
Estonia;12 Jun 1992;27 Jul 1994;nan
Eswatini;12 Jun 1992;7 Oct 1996;nan
Ethiopia;10 Jun 1992;5 Apr 1994;nan
European Union;13 Jun 1992;21 Dec 1993 AA;nan
Fiji;9 Oct 1992;25 Feb 1993;nan
Finland;4 Jun 1992;3 May 1994 A;nan
France;13 Jun 1992;25 Mar 1994;nan
Gabon;12 Jun 1992;21 Jan 1998;nan
Gambia;12 Jun 1992;10 Jun 1994;nan
Georgia;;29 Jul 1994 a;nan
Germany;12 Jun 1992;9 Dec 1993;nan
Ghana;12 Jun 1992;6 Sep 1995;nan
Greece;12 Jun 1992;4 Aug 1994;nan
Grenada;3 Dec 1992;11 Aug 1994;nan
Guatemala;13 Jun 1992;15 Dec 1995;nan
Guinea;12 Jun 1992;7 May 1993;nan
Guinea-Bissau;12 Jun 1992;27 Oct 1995;nan
Guyana;13 Jun 1992;29 Aug 1994;nan
Haiti;13 Jun 1992;25 Sep 1996;nan
Holy See;;6 Jul 2022 a;nan
Honduras;13 Jun 1992;19 Oct 1995;nan
Hungary;13 Jun 1992;24 Feb 1994;nan
Iceland;4 Jun 1992;16 Jun 1993;nan
India;10 Jun 1992;1 Nov 1993;nan
Indonesia;5 Jun 1992;23 Aug 1994;nan
Iran (Islamic Republic of);14 Jun 1992;18 Jul 1996;nan
Iraq;;28 Jul 2009 a;nan
Ireland;13 Jun 1992;20 Apr 1994;nan
Israel;4 Jun 1992;4 Jun 1996;nan
Italy;5 Jun 1992;15 Apr 1994;nan
Jamaica;12 Jun 1992;6 Jan 1995;nan
Japan;13 Jun 1992;28 May 1993 A;nan
Jordan;11 Jun 1992;12 Nov 1993;nan
Kazakhstan;8 Jun 1992;17 May 1995;nan
Kenya;12 Jun 1992;30 Aug 1994;nan
Kiribati;13 Jun 1992;7 Feb 1995;nan
Kuwait;;28 Dec 1994 a;nan
Kyrgyzstan;;25 May 2000 a;nan
Lao People's Democratic Republic;;4 Jan 1995 a;nan
Latvia;11 Jun 1992;23 Mar 1995;nan
Lebanon;12 Jun 1992;15 Dec 1994;nan
Lesotho;11 Jun 1992;7 Feb 1995;nan
Liberia;12 Jun 1992;5 Nov 2002;nan
Libya;29 Jun 1992;14 Jun 1999;nan
Liechtenstein;4 Jun 1992;22 Jun 1994;nan
Lithuania;11 Jun 1992;24 Mar 1995;nan
Luxembourg;9 Jun 1992;9 May 1994;nan
Madagascar;10 Jun 1992;2 Jun 1999;nan
Malawi;10 Jun 1992;21 Apr 1994;nan
Malaysia;9 Jun 1993;13 Jul 1994;nan
Maldives;12 Jun 1992;9 Nov 1992;nan
Mali;30 Sep 1992;28 Dec 1994;nan
Malta;12 Jun 1992;17 Mar 1994;nan
Marshall Islands;12 Jun 1992;8 Oct 1992;nan
Mauritania;12 Jun 1992;20 Jan 1994;nan
Mauritius;10 Jun 1992;4 Sep 1992;nan
Mexico;13 Jun 1992;11 Mar 1993;nan
Micronesia (Federated States of);12 Jun 1992;18 Nov 1993;nan
Monaco;11 Jun 1992;20 Nov 1992;nan
Mongolia;12 Jun 1992;30 Sep 1993;nan
Montenegro 4;;23 Oct 2006 d;nan
Morocco;13 Jun 1992;28 Dec 1995;nan
Mozambique;12 Jun 1992;25 Aug 1995;nan
Myanmar;11 Jun 1992;25 Nov 1994;nan
Namibia;12 Jun 1992;16 May 1995;nan
Nauru;8 Jun 1992;11 Nov 1993;nan
Nepal;12 Jun 1992;2 May 1994;nan
Netherlands 5;4 Jun 1992;20 Dec 1993 A;nan
New Zealand 6;4 Jun 1992;16 Sep 1993;nan
Nicaragua;13 Jun 1992;31 Oct 1995;nan
Niger;11 Jun 1992;25 Jul 1995;nan
Nigeria;13 Jun 1992;29 Aug 1994;nan
Niue;;28 Feb 1996 a;nan
North Macedonia;;28 Jan 1998 a;nan
Norway;4 Jun 1992;9 Jul 1993;nan
Oman;11 Jun 1992;8 Feb 1995;nan
Pakistan;13 Jun 1992;1 Jun 1994;nan
Palau;;10 Dec 1999 a;nan
Panama;18 Mar 1993;23 May 1995;nan
Papua New Guinea;13 Jun 1992;16 Mar 1993;nan
Paraguay;12 Jun 1992;24 Feb 1994;nan
Peru;12 Jun 1992;7 Jun 1993;nan
Philippines;12 Jun 1992;2 Aug 1994;nan
Poland;5 Jun 1992;28 Jul 1994;nan
Portugal 3;13 Jun 1992;21 Dec 1993;nan
Qatar;;18 Apr 1996 a;nan
Republic of Korea;13 Jun 1992;14 Dec 1993;nan
Republic of Moldova;12 Jun 1992;9 Jun 1995;nan
Romania;5 Jun 1992;8 Jun 1994;nan
Russian Federation;13 Jun 1992;28 Dec 1994;nan
Rwanda;10 Jun 1992;18 Aug 1998;nan
Samoa;12 Jun 1992;29 Nov 1994;nan
San Marino;10 Jun 1992;28 Oct 1994;nan
Sao Tome and Principe;12 Jun 1992;29 Sep 1999;nan
Saudi Arabia;;28 Dec 1994 a;nan
Senegal;13 Jun 1992;17 Oct 1994;nan
Serbia;;12 Mar 2001 a;nan
Seychelles;10 Jun 1992;22 Sep 1992;nan
Sierra Leone;11 Feb 1993;22 Jun 1995;nan
Singapore;13 Jun 1992;29 May 1997;nan
Slovakia;19 May 1993;25 Aug 1994 AA;nan
Slovenia;13 Jun 1992;1 Dec 1995;nan
Solomon Islands;13 Jun 1992;28 Dec 1994;nan
Somalia;;11 Sep 2009 a;nan
South Africa;15 Jun 1993;29 Aug 1997;nan
South Sudan;;17 Feb 2014 a;nan
Spain;13 Jun 1992;21 Dec 1993;nan
Sri Lanka;10 Jun 1992;23 Nov 1993;nan
St. Kitts and Nevis;12 Jun 1992;7 Jan 1993;nan
St. Lucia;14 Jun 1993;14 Jun 1993;nan
St. Vincent and the Grenadines;;2 Dec 1996 a;nan
State of Palestine;;18 Dec 2015 a;nan
Sudan;9 Jun 1992;19 Nov 1993;nan
Suriname;13 Jun 1992;14 Oct 1997;nan
Sweden;8 Jun 1992;23 Jun 1993;nan
Switzerland;12 Jun 1992;10 Dec 1993;nan
Syrian Arab Republic;;4 Jan 1996 a;nan
Tajikistan;;7 Jan 1998 a;nan
Thailand;12 Jun 1992;28 Dec 1994;nan
Timor-Leste;;10 Oct 2006 a;nan
Togo;12 Jun 1992;8 Mar 1995 A;nan
Tonga;;20 Jul 1998 a;nan
Trinidad and Tobago;11 Jun 1992;24 Jun 1994;nan
Tunisia;13 Jun 1992;15 Jul 1993;nan
Türkiye;;24 Feb 2004 a;nan
Turkmenistan;;5 Jun 1995 a;nan
Tuvalu;8 Jun 1992;26 Oct 1993;nan
Uganda;13 Jun 1992;8 Sep 1993;nan
Ukraine;11 Jun 1992;13 May 1997;nan
United Arab Emirates;;29 Dec 1995 a;nan
United Kingdom of Great Britain and Northern Ireland 7, 8;12 Jun 1992;8 Dec 1993;nan
United Republic of Tanzania;12 Jun 1992;17 Apr 1996;nan
United States of America;12 Jun 1992;15 Oct 1992;nan
Uruguay;4 Jun 1992;18 Aug 1994;nan
Uzbekistan;;20 Jun 1993 a;nan
Vanuatu;9 Jun 1992;25 Mar 1993;nan
Venezuela (Bolivarian Republic of);12 Jun 1992;28 Dec 1994;nan
Viet Nam;11 Jun 1992;16 Nov 1994;nan
Yemen;12 Jun 1992;21 Feb 1996;nan
Zambia;11 Jun 1992;28 May 1993;nan
Zimbabwe;12 Jun 1992;3 Nov 1992;nan
