;COUNTRY_ISO_3;RAW_OBS_VALUE;TIME_PERIOD;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
10;AZE;0;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
11;BHS;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
12;BHR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
13;BGD;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
14;BRB;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
15;BLR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
16;BEL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
17;BLZ;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
18;BEN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
19;BTN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
20;BOL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
21;BIH;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
22;BWA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
23;BRA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
24;BRN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
25;BGR;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
26;BFA;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
27;BDI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
28;CPV;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
29;KHM;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
30;CMR;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
31;CAN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
32;CAF;2;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
33;TCD;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
34;CHL;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
35;CHN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
36;COL;4;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
37;COM;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
38;COG;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
39;COD;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
40;CRI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
41;CIV;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
42;HRV;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
43;CUB;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
44;CYP;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
45;CZE;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
46;DNK;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
47;DJI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
48;DMA;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
49;DOM;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
50;ECU;2;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
51;EGY;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
52;SLV;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
53;GNQ;0;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
54;ERI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
55;EST;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
56;SWZ;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
57;ETH;3;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
58;FJI;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
59;FIN;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
60;FRA;0;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
61;GAB;2;2020.0;both;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
62;GMB;0;2023.0;right_only;;Community and Environment;Resource use and damage to the environment;Legal framework national;CE_RD_LF_COEIST;https://eiti.org/countries;EITI;Is the country making progress towards implementing the Extractives Industry Transparency Initiative standard?;;;;Countries: Implementation status;https://eiti.org/api/v2.0/implementing_country;2020;"4=Satisfactory progress; 3=Meaningful progress; 2=To be assessed; 1=Suspended inadequate progress/ suspended political instability; 0=Not a member/ other / no data"
