;COUNTRY_ISO_3;COUNTRY_NAME;DIM_SEX;DIM_SEX;DIM_SEX;DIM_SEX;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;DIM_AGE_GROUP;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE
56;BRB;Barbados;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;13.3;GSHS 2011
57;BRN;Brunei Darussalam;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;21.7;GSHS 2014
58;BRN;Brunei Darussalam;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;25.3;GSHS 2014
59;BRN;Brunei Darussalam;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2014;23.4;GSHS 2014
60;BTN;Bhutan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;28.9;GSHS 2016
61;BTN;Bhutan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;31.2;GSHS 2016
62;BTN;Bhutan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;30.1;GSHS 2016
63;BWA;Botswana;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2005;51.8;GSHS 2005
64;BWA;Botswana;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2005;52.6;GSHS 2005
65;BWA;Botswana;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2005;52.1;GSHS 2005
66;CAN;Canada;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;39.5;HBSC 2017/18
67;CAN;Canada;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;36.3;HBSC 2017/18
68;CAN;Canada;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;37.9;HBSC 2017/18
69;CHE;Switzerland;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.1;HBSC 2017/18
70;CHE;Switzerland;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.1;HBSC 2017/18
71;CHE;Switzerland;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;16.1;HBSC 2017/18
72;CHL;Chile;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;13.9;GSHS 2013
73;CHL;Chile;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;15.8;GSHS 2013
74;CHL;Chile;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;15.1;GSHS 2013
75;COK;Cook Islands;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;31.8;GSHS 2015
76;COK;Cook Islands;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;29.4;GSHS 2015
77;COK;Cook Islands;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;30.9;GSHS 2015
78;CRI;Costa Rica;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;19.6;GSHS 2009
79;CRI;Costa Rica;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;18.4;GSHS 2009
80;CRI;Costa Rica;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;19.0;GSHS 2009
81;CUB;Cuba;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2006;13.2;SERCE 2006
82;CZE;Czechia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.5;HBSC 2017/18
83;CZE;Czechia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;16.5;HBSC 2017/18
84;CZE;Czechia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.5;HBSC 2017/18
85;DEU;Germany;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.9;HBSC 2017/18
86;DEU;Germany;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.7;HBSC 2017/18
87;DEU;Germany;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.8;HBSC 2017/18
88;DJI;Djibouti;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;35.8;GSHS 2007
89;DJI;Djibouti;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;44.3;GSHS 2007
90;DJI;Djibouti;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;40.9;GSHS 2007
91;DMA;Dominica;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;26.0;GSHS 2009
92;DMA;Dominica;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;28.7;GSHS 2009
93;DMA;Dominica;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2009;27.4;GSHS 2009
94;DNK;Denmark;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.7;HBSC 2017/18
95;DNK;Denmark;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.9;HBSC 2017/18
96;DNK;Denmark;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;13.3;HBSC 2017/18
97;DOM;Dominican Republic;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;22.3;GSHS 2016
98;DOM;Dominican Republic;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;26.3;GSHS 2016
99;DOM;Dominican Republic;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2016;24.3;GSHS 2016
100;DZA;Algeria;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;55.1;GSHS 2011
101;DZA;Algeria;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;48.1;GSHS 2011
102;DZA;Algeria;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;51.7;GSHS 2011
103;ECU;Ecuador;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;44.4;TERCE 2013
104;EGY;Egypt;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;69.7;GSHS 2011
105;EGY;Egypt;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;70.1;GSHS 2011
106;EGY;Egypt;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;70.0;GSHS 2011
107;ESP;Spain;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;9.3;HBSC 2017/18
108;ESP;Spain;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;10.0;HBSC 2017/18
109;ESP;Spain;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;9.6;HBSC 2017/18
110;EST;Estonia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;29.8;HBSC 2017/18
111;EST;Estonia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;29.7;HBSC 2017/18
112;EST;Estonia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;29.8;HBSC 2017/18
113;FIN;Finland;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;24.2;HBSC 2017/18
114;FIN;Finland;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;27.5;HBSC 2017/18
115;FIN;Finland;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;25.8;HBSC 2017/18
116;FJI;Fiji;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;25.7;GSHS 2015
117;FJI;Fiji;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;33.1;GSHS 2015
118;FJI;Fiji;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;29.9;GSHS 2015
119;FRA;France;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;15.5;HBSC 2017/18
120;FRA;France;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;12.8;HBSC 2017/18
121;FRA;France;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;14.1;HBSC 2017/18
122;GBR;United Kingdom;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;37.0;HBSC 2017/18
123;GBR;United Kingdom;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;37.9;HBSC 2017/18
124;GBR;United Kingdom;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;37.4;HBSC 2017/18
125;GEO;Georgia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.8;HBSC 2017/18
126;GEO;Georgia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.5;HBSC 2017/18
127;GEO;Georgia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.7;HBSC 2017/18
128;GHA;Ghana;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;62.0;GSHS 2012
129;GRC;Greece;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;20.8;HBSC 2017/18
130;GRC;Greece;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;18.4;HBSC 2017/18
131;GRC;Greece;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;19.6;HBSC 2017/18
132;GRD;Grenada;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;26.1;GSHS 2008
133;GRD;Grenada;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;28.6;GSHS 2008
134;GRD;Grenada;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2008;27.2;GSHS 2008
135;GTM;Guatemala;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;19.6;GSHS 2015
136;GTM;Guatemala;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;26.0;GSHS 2015
137;GTM;Guatemala;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;22.8;GSHS 2015
138;GUY;Guyana;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;36.6;GSHS 2010
139;GUY;Guyana;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;40.2;GSHS 2010
140;GUY;Guyana;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2010;38.4;GSHS 2010
141;HND;Honduras;F;Female;F;Female;Y13T17;13 to 17 years old;Y13T17;13 to 17 years old;2017;11.8;Encuesta de Violencia contra ninos, ninas y adolescentes 2017
142;HND;Honduras;M;Male;M;Male;Y13T17;13 to 17 years old;Y13T17;13 to 17 years old;2017;13.1;Encuesta de Violencia contra ninos, ninas y adolescentes 2017
143;HRV;Croatia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;21.4;HBSC 2017/18
144;HRV;Croatia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;22.8;HBSC 2017/18
145;HRV;Croatia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;22.1;HBSC 2017/18
146;HUN;Hungary;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;28.2;HBSC 2017/18
147;HUN;Hungary;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;27.1;HBSC 2017/18
148;HUN;Hungary;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;27.7;HBSC 2017/18
149;IDN;Indonesia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;19.0;GSHS 2015
150;IDN;Indonesia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;23.7;GSHS 2015
151;IDN;Indonesia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;21.3;GSHS 2015
152;IRL;Ireland;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.4;HBSC 2017/18
153;IRL;Ireland;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.3;HBSC 2017/18
154;IRL;Ireland;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;32.3;HBSC 2017/18
155;IRQ;Iraq;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;21.9;GSHS 2012
156;IRQ;Iraq;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;32.4;GSHS 2012
157;IRQ;Iraq;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2012;27.7;GSHS 2012
158;ISL;Iceland;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.4;HBSC 2017/18
159;ISL;Iceland;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;12.3;HBSC 2017/18
160;ISL;Iceland;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.8;HBSC 2017/18
161;ISR;Israel;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;17.8;HBSC 2017/18
162;ISR;Israel;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;29.4;HBSC 2017/18
163;ISR;Israel;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;23.6;HBSC 2017/18
164;ITA;Italy;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.7;HBSC 2017/18
165;ITA;Italy;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.4;HBSC 2017/18
166;ITA;Italy;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;11.5;HBSC 2017/18
167;JAM;Jamaica;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;24.8;GSHS 2017
168;JAM;Jamaica;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;26.3;GSHS 2017
169;JAM;Jamaica;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;25.5;GSHS 2017
170;JOR;Jordan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;36.5;GSHS 2007
171;JOR;Jordan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;46.6;GSHS 2007
172;JOR;Jordan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;41.6;GSHS 2007
173;JPN;Japan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;18.0;TIMSS 2015
174;KAZ;Kazakhstan;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;16.1;HBSC 2017/18
175;KAZ;Kazakhstan;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;15.3;HBSC 2017/18
176;KAZ;Kazakhstan;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2018;15.7;HBSC 2017/18
177;KEN;Kenya;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;57.4;GSHS 2003
178;KEN;Kenya;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;56.6;GSHS 2003
179;KEN;Kenya;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2003;57.1;GSHS 2003
180;KHM;Cambodia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;22.2;GSHS 2013
181;KHM;Cambodia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;22.5;GSHS 2013
182;KHM;Cambodia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2013;22.4;GSHS 2013
183;KIR;Kiribati;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;32.2;GSHS 2011
184;KIR;Kiribati;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;42.1;GSHS 2011
185;KIR;Kiribati;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;36.8;GSHS 2011
186;KNA;Saint Kitts and Nevis;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;20.4;GSHS 2011
187;KNA;Saint Kitts and Nevis;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;24.9;GSHS 2011
188;KNA;Saint Kitts and Nevis;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2011;22.7;GSHS 2011
189;KOR;Republic of Korea;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;15.0;TIMSS 2015
190;KWT;Kuwait;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;27.7;GSHS 2015
191;KWT;Kuwait;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;35.8;GSHS 2015
192;KWT;Kuwait;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;31.7;GSHS 2015
193;LAO;Lao People's Democratic Republic;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;11.3;GSHS 2015
194;LAO;Lao People's Democratic Republic;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;15.2;GSHS 2015
195;LAO;Lao People's Democratic Republic;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2015;13.2;GSHS 2015
196;LBN;Lebanon;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;11.7;GSHS 2017
197;LBN;Lebanon;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;23.9;GSHS 2017
198;LBN;Lebanon;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;17.5;GSHS 2017
199;LBR;Liberia;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;50.8;GSHS 2017
200;LBR;Liberia;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;43.1;GSHS 2017
201;LBR;Liberia;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2017;47.2;GSHS 2017
202;LBY;Libya;F;Female;F;Female;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;30.5;GSHS 2007
203;LBY;Libya;M;Male;M;Male;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;40.0;GSHS 2007
204;LBY;Libya;_T;Total;_T;Total;Y13T15;13 to 15 years;Y13T15;13 to 15 years;2007;35.3;GSHS 2007
