;COUNTRY_ISO_3;TIME_PERIOD;RAW_OBS_VALUE;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
10;AZE;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
11;BHS;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
12;BHR;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
13;BGD;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
14;BRB;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
15;BLR;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
16;BEL;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
17;BLZ;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
18;BEN;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
19;BTN;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
20;BOL;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
21;BIH;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
22;BWA;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
23;BRA;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
24;BRN;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
25;BGR;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
26;BFA;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
27;BDI;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
28;CPV;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
29;KHM;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
30;CMR;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
31;CAN;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
32;CAF;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
33;TCD;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
34;CHL;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
35;CHN;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
36;COL;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
37;COM;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
38;COG;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
39;COD;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
40;CRI;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
41;CIV;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
42;HRV;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
43;CUB;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
44;CYP;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
45;CZE;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
46;DNK;2022;VALUE WITHOUT MAPPING - PLEASE MAP;both;Reports of suspected missing or exploited children;Marketplace;Online Abuse and exploitation;Outcome;MP_OL_OC_RESMEC;Map provided in March 2020 by: Lydia Madden, Project Specialist, LEA Relations, National Center for Missing & Exploited Children(703) 837-6302 LMadden@NCMEC.ORG ;NCMEC;Number of NCMEC reports by country;;;;NCMEC 2019 World Map ;nan;2023;"6=over 50,000; 5=20,000 - 50,000; 4=10,000 - 20,000; 3=5,000 - 10,000; 2=1,000-5,000; 1 =Less than 1,000; 0=No data"
