;COUNTRY_NAME;RAW_OBS_VALUE;TIME_PERIOD;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR;ATTR_ENCODING_LABELS
10;Azerbaijan;3;2020.0;AZ;AZE;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
11;Bahamas;3;2020.0;BS;BHS;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
12;Bahrain;3;2020.0;BH;BHR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
13;Bangladesh;3;2020.0;BD;BGD;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
14;Barbados;3;2020.0;BB;BRB;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
15;Belarus;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;BY;BLR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
16;Belgium;3;2020.0;BE;BEL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
17;Belize;3;2020.0;BZ;BLZ;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
18;Benin;3;2020.0;BJ;BEN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
19;Bhutan;3;2020.0;BT;BTN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
20;Bolivia;3;2020.0;BO;BOL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
21;Bosnia and Herzegovina;3;2020.0;BA;BIH;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
22;Botswana;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;BW;BWA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
23;Brazil;3;2020.0;BR;BRA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
24;Brunei;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;BN;BRN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
25;Bulgaria;3;2020.0;BG;BGR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
26;Burkina Faso;3;2020.0;BF;BFA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
27;Burundi;3;2020.0;BI;BDI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
28;Cape Verde;3;2020.0;CV;CPV;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
29;Cambodia;3;2020.0;KH;KHM;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
30;Cameroon;3;2020.0;CM;CMR;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
31;Canada;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;CA;CAN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
32;Central African Republic;3;2020.0;CF;CAF;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
33;Chad;3;2020.0;TD;TCD;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
34;Chile;3;2020.0;CL;CHL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
35;China;3;2020.0;CN;CHN;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
36;Colombia;3;2020.0;CO;COL;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
37;Comoros;3;2020.0;KM;COM;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
38;;0;2023.0;;COG;right_only;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
39;Congo, Democratic Republic of the;3;2020.0;CD;COD;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
40;Costa Rica;3;2020.0;CR;CRI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
41;;0;2023.0;;CIV;right_only;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
42;Croatia;3;2020.0;HR;HRV;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
43;Cuba;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;CU;CUB;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
44;Cyprus;3;2020.0;CY;CYP;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
45;Czech Republic;3;2020.0;CZ;CZE;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
46;Denmark;3;2020.0;DK;DNK;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
47;Djibouti;3;2020.0;DJ;DJI;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
48;Dominica;VALUE WITHOUT MAPPING - PLEASE MAP;2020.0;DM;DMA;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
49;Dominican Republic;3;2020.0;DO;DOM;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
50;Ecuador;3;2020.0;EC;ECU;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
51;Egypt;3;2020.0;EG;EGY;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
52;El Salvador;3;2020.0;SV;SLV;both;Sexual harassment;Workplace;Decent working conditions;Legal framework national;WP_DW_LF_SEXHAR;https://www.worldpolicycenter.org/policies/is-sexual-harassment-explicitly-prohibited-in-the-workplace;World Policy Analysis Centre;Is sexual harassment explicitly prohibited in the workplace?;;;;Is sexual harassment explicitly prohibited in the workplace? ;nan;2023;"3=Only harassment of women OR Yes, for both women and men; 2=Not prohibited, but at least some protection; 1=Sexual harassment not explicitly prohibited; 0=No data"
