;DIM_SDG_INDICATOR;ATTR_SDG_INDICATOR_DESCRIPTION;COUNTRY_NAME;TIME_PERIOD;RAW_OBS_VALUE;ATTR_SOURCE_OF_SOURCE;ATTR_FOOTNOTE_OF_SOURCE;DIM_REP_TYPE;DIM_QUANTILE;COUNTRY_ISO_2;COUNTRY_ISO_3;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
10;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Argentina;2019.0;34.30034;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AR;ARG;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
11;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Armenia;2018.0;55.90557;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AM;ARM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
12;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Armenia;2018.0;52.32998;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AM;ARM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
13;_T;;;2023.0;;;;_T;_T;;AUS;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
14;_T;;;2023.0;;;;_T;_T;;AUT;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
15;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Azerbaijan;2015.0;56.98233;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);AZ;AZE;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
16;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Azerbaijan;2015.0;50.6121;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;AZ;AZE;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
17;_T;;;2023.0;;;;_T;_T;;BHS;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
18;_T;;;2023.0;;;;_T;_T;;BHR;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
19;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bangladesh;2016.0;0.95057;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BD;BGD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
20;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bangladesh;2016.0;0.4757;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BD;BGD;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
21;_T;;;2023.0;;;;_T;_T;;BRB;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
22;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Belarus;2019.0;41.4284;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BY;BLR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
23;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Belarus;2019.0;47.47545;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BY;BLR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
24;_T;;;2023.0;;;;_T;_T;;BEL;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
25;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Belize;2009.0;28.18954;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BZ;BLZ;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
26;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Belize;2009.0;29.36916;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BZ;BLZ;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
27;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Benin;2003.0;6.62698;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BJ;BEN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
28;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Benin;2003.0;3.60006;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BJ;BEN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
29;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bhutan;2017.0;0.89294;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BT;BTN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
30;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bhutan;2017.0;0.58473;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BT;BTN;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
31;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bolivia (Plurinational State of);2019.0;8.53684;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BO;BOL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
32;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bolivia (Plurinational State of);2019.0;1.42263;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BO;BOL;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
33;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bosnia and Herzegovina;2015.0;37.2437;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BA;BIH;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
34;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bosnia and Herzegovina;2015.0;40.16296;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BA;BIH;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
35;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Botswana;2015.0;3.76782;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BW;BWA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
36;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Botswana;2015.0;2.01765;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BW;BWA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
37;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Brazil;2019.0;10.53988;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BR;BRA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
38;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Brazil;2019.0;30.50582;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BR;BRA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
39;_T;;;2023.0;;;;_T;_T;;BRN;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
40;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bulgaria;2007.0;48.19672;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BG;BGR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
41;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Bulgaria;2007.0;47.71536;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BG;BGR;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
42;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Burkina Faso;2018.0;0.3021;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);BF;BFA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
43;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Burkina Faso;2018.0;2.70044;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;BF;BFA;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
44;_T;;;2023.0;;;;_T;_T;;BDI;right_only;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
45;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cabo Verde;2007.0;3.24719;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);CV;CPV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
46;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cabo Verde;2007.0;6.00065;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;CV;CPV;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
47;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cambodia;2013.0;1.86914;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;_T;KH;KHM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
48;1.3.1;[World Bank] Proportion of population covered by social insurance programs (%);Cambodia;2013.0;0.35887;ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/);[''];Global;First quantile (Q1);KH;KHM;both;;;;;;https://unstats.un.org/sdgs/indicators/database/;UN SDG;;;;;SDG Indicator 1.3.1,  Series:  [World Bank] Proportion of population covered by social insurance programs (%) SI_COV_SOCINS;https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SI_COV_SOCINS&pageSize=999999999;2023
