;TIME_PERIOD;COUNTRY_ISO_3;RAW_OBS_VALUE;_merge;INDICATOR_NAME;INDICATOR_INDEX;INDICATOR_ISSUE;INDICATOR_CATEGORY;INDICATOR_CODE;ATTR_SOURCE;ATTR_SOURCE_BODY;ATTR_INDICATOR_DESCRIPTION;ATTR_INDICATOR_EXPLANATION;ATTR_UNIT_MEASURE;ATTR_DATA_EXTRACTION_METHDOLOGY;ATTR_SOURCE_TITLE;ATTR_API_ENDPOINT_URL;CRBA_RELEASE_YEAR
10;2013.0;AZE;12.1;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
11;2023.0;BHS;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
12;2023.0;BHR;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
13;2019.0;BGD;62.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
14;2012.0;BRB;19.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
15;2019.0;BLR;21.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
16;2023.0;BEL;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
17;2015.0;BLZ;33.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
18;2018.0;BEN;41.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
19;2015.0;BTN;53.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
20;2016.0;BOL;55.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
21;2012.0;BIH;18.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
22;2017.0;BWA;30.0;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
23;2007.0;BRA;38.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
24;2023.0;BRN;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
25;2023.0;BGR;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
26;2019.0;BFA;57.9;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
27;2019.0;BDI;71.9;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
28;2005.0;CPV;59.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
29;2014.0;KHM;65.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
30;2018.0;CMR;39.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
31;2023.0;CAN;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
32;2019.0;CAF;36.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
33;2019.0;TCD;9.0;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
34;2019.0;TCD;16.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
35;2023.0;CHL;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
36;2013.0;CHN;20.8;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
37;2016.0;COL;36.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
38;2012.0;COM;11.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
39;2014.0;COG;32.9;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
40;2017.0;COD;53.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
41;2018.0;CRI;25.3;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
42;2016.0;CIV;23.1;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
43;1996.0;HRV;23.5;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
44;2019.0;CUB;40.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
45;2023.0;CYP;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
46;2023.0;CZE;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
47;2023.0;DNK;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
48;2012.0;DJI;12.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
49;2023.0;DMA;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
50;2014.0;DOM;4.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
51;2004.0;ECU;39.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
52;2014.0;EGY;39.5;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
53;2014.0;SLV;46.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
54;2011.0;GNQ;7.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
55;2010.0;ERI;68.7;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
56;2023.0;EST;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
57;2014.0;SWZ;63.8;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
58;2019.0;ETH;58.8;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
59;2004.0;FJI;39.8;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
60;2023.0;FIN;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
61;2023.0;FRA;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
62;2012.0;GAB;5.1;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
63;2020.0;GMB;53.6;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
64;2018.0;GEO;20.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
65;2023.0;DEU;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
66;2017.0;GHA;42.9;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
67;2023.0;GRC;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
68;2023.0;GRD;;right_only;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
69;2015.0;GTM;53.2;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
70;2018.0;GIN;33.4;both;Exclusive breastfeeding	;Marketplace;Marketing and Advertising;Outcome;MP_MA_OC_EXCBRE;http://apps.who.int/gho/data/node.main.1100?lang=en;WHO;Exclusive breastfeeding under 6 months;;PCNT;;Global Health Observatory, Infants exclusively breastfed for the first six months of life (%);http://apps.who.int/gho/athena/api/GHO/WHOSIS_000006.csv;2023
