;Unnamed: 11;Score;Unnamed: 20;Score.1;Unnamed: 29;Score.2;Unnamed: 38;Score.3;Unnamed: 47;Score.4
45;Myanmar;36.6;Bangladesh;52.7;Burkina Faso;48.9;Saudi Arabia;30.0;Mozambique;20.3
46;Ghana;35.9;Burkina Faso;51.3;Angola;48.3;Bangladesh;27.6;Angola;19.3
47;Bangladesh;35.3;Tanzania;50.8;Algeria;47.8;Myanmar;24.8;Egypt;17.3
48;Cote d'Ivoire;34.7;Pakistan;50.0;Cote d'Ivoire;47.8;Cote d'Ivoire;24.5;Vietnam;17.3
49;Egypt;32.0;Uganda;49.7;Pakistan;47.3;Niger;22.2;Dem Rep of Congo;16.7
50;Algeria;31.9;Mozambique;48.0;Bangladesh;45.9;Venezuela;18.7;Algeria;14.7
51;Uzbekistan;31.9;Venezuela;48.0;Venezuela;45.3;Cameroon;16.8;Bangladesh;14.7
52;Venezuela;30.0;Ethiopia;46.7;China;44.8;Burkina Faso;15.4;Cameroon;14.7
53;Angola;29.7;Angola;45.1;Indonesia;43.1;Algeria;15.1;Niger;14.7
54;Ethiopia;29.1;Cote d'Ivoire;44.8;UAE;41.8;Angola;13.5;Ethiopia;12.7
55;Cameroon;28.9;Madagascar;43.5;Myanmar;39.4;Uzbekistan;10.9;Pakistan;12.7
56;Niger;28.7;Niger;41.9;Mozambique;39.3;Pakistan;10.4;Ghana;10.7
57;Burkina Faso;28.6;Cameroon;41.1;Ghana;37.3;Dem Rep of Congo;9.7;Venezuela;10.7
58;Pakistan;28.6;Dem Rep of Congo;36.3;Niger;36.3;Egypt;9.5;Uzbekistan;6.7
59;Dem Rep of Congo;26.4;Nigeria;35.2;Saudi Arabia;20.2;Ethiopia;8.8;Burkina Faso;2.0
60;;;;;;;;;;
61;;;;;;;;;;
62;;;;;;;;;;
